"cd_num_employees","d_completed","cd_regio"
"1","2020-04-22","VLA"
"1","2020-04-22","VLA"
"1","2020-04-22","VLA"
"2","2020-04-22","VLA"
"5","2020-04-22","VLA"
"3","2020-04-22","VLA"
"1","2020-04-22","VLA"
"1","2020-04-22","VLA"
"2","2020-04-22","VLA"
"1","2020-04-22","VLA"
"1","2020-04-22","VLA"
"3","2020-04-22","VLA"
"3","2020-04-22","VLA"
"2","2020-04-22","VLA"
"1","2020-04-22","VLA"
"1","2020-04-22","VLA"
"1","2020-04-22","VLA"
"2","2020-04-23","VLA"
"1","2020-04-23","VLA"
"8 vroedvrouwen, 2 coördinatoren, 2 adm medewerkers, 10 vrijwilligers","2020-04-23","VLA"
"1","2020-04-23","VLA"
"1","2020-04-23","VLA"
"2","2020-04-27","VLA"
"3","2020-04-27","VLA"
"1","2020-04-27","VLA"
"1","2020-04-27","VLA"
"3","2020-04-27","VLA"
"1","2020-04-27","VLA"
"1","2020-04-27","VLA"
"2","2020-04-27","VLA"
"1","2020-04-27","VLA"
"1","2020-04-27","VLA"
"10","2020-04-27","BRU"
"3","2020-04-27","VLA"
"25","2020-04-27","VLA"
"1","2020-04-27","VLA"
"1","2020-04-27","VLA"
"2","2020-04-27","VLA"
"10 vroedvrouwen 2 kiné 2 osteopaten 2 psychologen","2020-04-27","VLA"
"1","2020-04-27","VLA"
"3","2020-04-27","VLA"
"3","2020-04-27","VLA"
"1","2020-04-27","VLA"
"1","2020-04-28","VLA"
"1","2020-04-28","VLA"
"7","2020-04-28","VLA"
"1","2020-04-28","VLA"
"1","2020-04-28","VLA"
"1","2020-04-28","VLA"
"3","2020-04-29","BRU"
"3","2020-04-29","VLA"
"1","2020-04-29","VLA"
"3","2020-04-29","VLA"
"10 vroedvrouwen 2 kine 2 osteo 2 pscycho","2020-04-29","VLA"
"2","2020-04-29","VLA"
"2","2020-04-29","VLA"
"1","2020-04-29","VLA"
"3","2020-04-29","VLA"
"3","2020-04-29","VLA"
"3","2020-04-29","VLA"
"10","2020-04-29","BRU"
"1","2020-04-29","VLA"
"2","2020-04-29","VLA"
"1","2020-04-29","VLA"
"1","2020-04-29","VLA"
"1","2020-04-29","VLA"
"1","2020-04-29","VLA"
"7","2020-04-29","VLA"
"1","2020-04-29","VLA"
"2","2020-04-29","VLA"
"5","2020-04-29","VLA"
"1","2020-05-01","VLA"
"3","2020-05-02","VLA"
"3","2020-05-04","VLA"
"3","2020-05-04","VLA"
"1","2020-05-04","VLA"
"5","2020-05-04","VLA"
"2","2020-05-04","VLA"
"1","2020-05-04","VLA"
"2","2020-05-04","VLA"
"2","2020-05-04","VLA"
"1","2020-05-04","VLA"
"2","2020-05-04","VLA"
"1","2020-05-04","VLA"
"3","2020-05-04","VLA"
"2","2020-05-04","VLA"
"3","2020-05-04","VLA"
"3","2020-05-04","VLA"
"5","2020-05-04","VLA"
"7","2020-05-04","VLA"
"3","2020-05-04","VLA"
"1","2020-05-05","VLA"
"2","2020-05-05","VLA"
"1","2020-05-05","VLA"
"1","2020-05-06","VLA"
"3","2020-05-06","VLA"
"2","2020-05-06","VLA"
"1","2020-05-06","VLA"
"1","2020-05-06","VLA"
"25","2020-05-06","VLA"
"7","2020-05-06","VLA"
"2","2020-05-06","VLA"
"1","2020-05-06","VLA"
"1","2020-05-06","VLA"
"3","2020-05-06","VLA"
"3","2020-05-06","VLA"
"3","2020-05-06","VLA"
"1","2020-05-07","VLA"
"1","2020-05-08","VLA"
"3","2020-05-08","VLA"
"1","2020-05-08","VLA"
"5","2020-05-08","VLA"
"1","2020-05-09","VLA"
"3","2020-05-11","VLA"
"2","2020-05-11","VLA"
"8 vroedvrouwen, 2 coördinatoren, 2 adm medewerkers, 10 vrijwilligers","2020-05-11","VLA"
"1","2020-05-11","VLA"
"1","2020-05-11","VLA"
"1","2020-05-11","VLA"
"1","2020-05-11","VLA"
"5","2020-05-11","VLA"
"3","2020-05-11","VLA"
"1","2020-05-11","VLA"
"8 vroedvrouwen, 2 coördinatoren, 2 adm medewerkers, 10 vrijwilligers","2020-05-12","VLA"
"2","2020-05-12","VLA"
"1","2020-05-12","VLA"
"2","2020-05-13","VLA"
"3","2020-05-13","VLA"
"3","2020-05-13","VLA"
"1","2020-05-13","VLA"
"1","2020-05-13","VLA"
"3","2020-05-13","VLA"
"1","2020-05-13","VLA"
"5","2020-05-13","VLA"
"8 vroedvrouwen, 2 coördinatoren, 2 adm medewerker, 10 vrijwilligers","2020-05-14","VLA"
"1","2020-05-18","VLA"
"1","2020-05-18","VLA"
"1","2020-05-18","VLA"
"1","2020-05-18","VLA"
"1","2020-05-18","VLA"
"1","2020-05-18","VLA"
"1","2020-05-18","VLA"
"1","2020-05-19","VLA"
"1","2020-05-20","VLA"
"5","2020-05-20","VLA"
"1","2020-05-20","VLA"
"3","2020-05-20","VLA"
"1","2020-05-20","VLA"
"1","2020-05-20","VLA"
"1","2020-05-20","VLA"
"3","2020-05-20","VLA"
"8 vroedvrouwen, 2 coördinatoren, 2 adm medewerker, 10 vrijwilligers","2020-05-20","VLA"
"2","2020-05-22","VLA"
"1","2020-05-22","VLA"
"1","2020-05-22","VLA"
"8 vroedvrouwen, 2 coördinatoren, 2 adm. medewerkers, 10 vrijwilligers","2020-05-25","VLA"
"1","2020-05-25","VLA"
"1","2020-05-25","VLA"
"1","2020-05-25","VLA"
"1","2020-05-25","VLA"
"1","2020-05-25","VLA"
"6","2020-05-26","BRU"
