"nr_num_cp_cohort_inside","d_completed","cd_regio"
"2","2020-04-06","VLA"
"4","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"1","2020-04-06","VLA"
"0","2020-04-06","BRU"
"3","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"3","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"1","2020-04-06","VLA"
"3","2020-04-06","VLA"
"25","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"2","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"10","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"1","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","BRU"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"1","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"1","2020-04-06","VLA"
"0","2020-04-06","VLA"
"1","2020-04-06","VLA"
"0","2020-04-06","VLA"
"2","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"2","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"2","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"3","2020-04-06","VLA"
"0","2020-04-06","VLA"
"00","2020-04-06","VLA"
"1","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"1","2020-04-06","VLA"
"1","2020-04-06","VLA"
"0","2020-04-06","VLA"
"2","2020-04-06","VLA"
"0","2020-04-06","VLA"
"4","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"2","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"4","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"1","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"2","2020-04-06","VLA"
"7","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"1","2020-04-06","VLA"
"0","2020-04-06","VLA"
"6","2020-04-06","VLA"
"1","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"1","2020-04-06","VLA"
"1","2020-04-06","VLA"
"4","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"2","2020-04-06","VLA"
"1","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"6","2020-04-06","VLA"
"2","2020-04-06","VLA"
"1","2020-04-06","VLA"
"00","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"3","2020-04-06","WAL"
"0","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"0","2020-04-06","VLA"
"2","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"6","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"1","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","BRU"
"4","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"1","2020-04-06","VLA"
"0","2020-04-06","VLA"
"2","2020-04-06","VLA"
"0","2020-04-06","VLA"
"2","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"4","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-06","VLA"
"0","2020-04-07","VLA"
"4","2020-04-07","VLA"
"0","2020-04-07","VLA"
"0","2020-04-07","VLA"
"0","2020-04-07","VLA"
"0","2020-04-07","VLA"
"3","2020-04-07","VLA"
"0","2020-04-07","BRU"
"1","2020-04-07","VLA"
"0","2020-04-07","VLA"
"1","2020-04-07","VLA"
"0","2020-04-07","VLA"
"0","2020-04-07","VLA"
"0","2020-04-07","VLA"
"0","2020-04-07","VLA"
"1","2020-04-07","VLA"
"1","2020-04-07","BRU"
"0","2020-04-07","VLA"
"0","2020-04-07","VLA"
"0","2020-04-07","VLA"
"0","2020-04-07","BRU"
"7","2020-04-07","BRU"
"4","2020-04-07","VLA"
"2","2020-04-07","VLA"
"1","2020-04-07","VLA"
"1","2020-04-07","VLA"
"4","2020-04-07","BRU"
"3","2020-04-07","VLA"
"2","2020-04-07","VLA"
"0","2020-04-07","VLA"
"3","2020-04-07","VLA"
"2","2020-04-07","VLA"
"0","2020-04-07","VLA"
"0","2020-04-07","VLA"
"0","2020-04-07","VLA"
"2","2020-04-07","VLA"
"0","2020-04-07","VLA"
"0","2020-04-07","VLA"
"0","2020-04-07","VLA"
"3","2020-04-07","VLA"
"0","2020-04-07","VLA"
"1","2020-04-07","VLA"
"0","2020-04-07","VLA"
"0","2020-04-07","VLA"
"0","2020-04-07","VLA"
"0","2020-04-07","BRU"
"2","2020-04-07","VLA"
"1","2020-04-07","VLA"
"2","2020-04-07","BRU"
"7","2020-04-07","VLA"
"1","2020-04-07","VLA"
"3","2020-04-07","VLA"
"10","2020-04-07","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"01","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"1","2020-04-08","VLA"
"2","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"2","2020-04-08","VLA"
"1","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"4","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"5","2020-04-08","VLA"
"1","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"15","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"2","2020-04-08","VLA"
"0","2020-04-08","VLA"
"3","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"9","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"1","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","BRU"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"1","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"1","2020-04-08","WAL"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"3","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"2","2020-04-08","VLA"
"0","2020-04-08","BRU"
"1","2020-04-08","VLA"
"5","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"2","2020-04-08","VLA"
"2","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"1","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-08","VLA"
"0","2020-04-09","VLA"
"2","2020-04-09","VLA"
"7","2020-04-09","WAL"
"0","2020-04-09","VLA"
"0","2020-04-09","WAL"
"0","2020-04-09","VLA"
"7","2020-04-09","VLA"
"0","2020-04-09","VLA"
"0","2020-04-09","VLA"
"0","2020-04-09","VLA"
"7","2020-04-09","WAL"
"0","2020-04-09","VLA"
"3","2020-04-09","WAL"
"0","2020-04-09","VLA"
"5","2020-04-09","WAL"
"0","2020-04-09","VLA"
"0","2020-04-09","VLA"
"0","2020-04-09","VLA"
"0","2020-04-09","VLA"
"6","2020-04-09","VLA"
"0","2020-04-09","VLA"
"1","2020-04-09","VLA"
"5","2020-04-09","WAL"
"0","2020-04-09","VLA"
"0","2020-04-09","VLA"
"0","2020-04-09","VLA"
"2","2020-04-09","VLA"
"0","2020-04-09","VLA"
"2","2020-04-10","VLA"
"1","2020-04-10","VLA"
"0","2020-04-10","VLA"
"0","2020-04-10","VLA"
"2","2020-04-10","WAL"
"0","2020-04-10","VLA"
"2","2020-04-10","VLA"
"0","2020-04-10","VLA"
"0","2020-04-10","VLA"
"0","2020-04-10","VLA"
"3","2020-04-10","VLA"
"0","2020-04-10","VLA"
"0","2020-04-10","VLA"
"0","2020-04-10","VLA"
"0","2020-04-10","VLA"
"0","2020-04-13","VLA"
"0","2020-04-13","VLA"
"1","2020-04-13","VLA"
"14","2020-04-13","VLA"
"0","2020-04-13","VLA"
"0","2020-04-13","VLA"
"0","2020-04-13","WAL"
"0","2020-04-13","VLA"
"0","2020-04-13","VLA"
"0","2020-04-13","VLA"
"0","2020-04-13","VLA"
"2","2020-04-13","VLA"
"0","2020-04-14","VLA"
"0","2020-04-14","VLA"
"0","2020-04-14","VLA"
"14","2020-04-14","VLA"
"0","2020-04-14","VLA"
"0","2020-04-14","VLA"
"2","2020-04-15","VLA"
"0","2020-04-15","VLA"
"0","2020-04-15","VLA"
"0","2020-04-15","VLA"
"0","2020-04-15","VLA"
"2","2020-04-15","VLA"
"0","2020-04-15","WAL"
"0","2020-04-15","VLA"
"0","2020-04-15","VLA"
"0","2020-04-15","VLA"
"0","2020-04-15","VLA"
"18","2020-04-15","VLA"
"0","2020-04-15","VLA"
"0","2020-04-15","VLA"
"0","2020-04-15","VLA"
"4","2020-04-15","VLA"
"1","2020-04-15","VLA"
"0","2020-04-15","VLA"
"0","2020-04-15","VLA"
"4","2020-04-15","VLA"
"2","2020-04-15","VLA"
"0","2020-04-15","VLA"
"0","2020-04-15","VLA"
"0","2020-04-15","VLA"
"0","2020-04-15","VLA"
"0","2020-04-15","VLA"
"0","2020-04-15","VLA"
"0","2020-04-15","VLA"
"1","2020-04-15","VLA"
"0","2020-04-15","VLA"
"14","2020-04-15","WAL"
"0","2020-04-15","VLA"
"0","2020-04-15","VLA"
"0","2020-04-15","VLA"
"0","2020-04-16","VLA"
"0","2020-04-16","VLA"
"0","2020-04-16","VLA"
"5","2020-04-16","VLA"
"3","2020-04-16","VLA"
"0","2020-04-16","VLA"
"0","2020-04-16","VLA"
"0","2020-04-16","VLA"
"2","2020-04-17","VLA"
"4","2020-04-17","VLA"
"1","2020-04-17","WAL"
"0","2020-04-17","VLA"
"2","2020-04-17","VLA"
"0","2020-04-18","VLA"
"1","2020-04-18","VLA"
"0","2020-04-18","VLA"
"0","2020-04-19","VLA"
"0","2020-04-20","VLA"
"0","2020-04-20","VLA"
"11","2020-04-20","VLA"
"0","2020-04-20","VLA"
"0","2020-04-20","VLA"
"0","2020-04-20","VLA"
"0","2020-04-20","VLA"
"0","2020-04-20","VLA"
"0","2020-04-20","VLA"
"0","2020-04-20","VLA"
"2","2020-04-20","VLA"
"14","2020-04-20","WAL"
"0","2020-04-20","VLA"
"0","2020-04-20","VLA"
"0","2020-04-20","VLA"
"0","2020-04-20","VLA"
"0","2020-04-20","VLA"
"0","2020-04-20","VLA"
"0","2020-04-20","VLA"
"0","2020-04-20","VLA"
"0","2020-04-20","VLA"
"0","2020-04-20","VLA"
"0","2020-04-20","VLA"
"0","2020-04-20","VLA"
"1","2020-04-20","VLA"
"0","2020-04-20","VLA"
