"nr_num_consultations_phys","d_completed","cd_regio"
"7","2020-04-03","VLA"
"11","2020-04-03","VLA"
"9","2020-04-03","VLA"
"12","2020-04-03","WAL"
"35","2020-04-03","VLA"
"47","2020-04-03","VLA"
"32","2020-04-03","VLA"
"20","2020-04-04","VLA"
"18","2020-04-04","VLA"
"6","2020-04-04","VLA"
"7","2020-04-04","VLA"
"1","2020-04-04","VLA"
"2","2020-04-04","VLA"
"7","2020-04-04","VLA"
"0","2020-04-04","VLA"
"1","2020-04-04","VLA"
"13","2020-04-04","VLA"
"30","2020-04-04","VLA"
"9","2020-04-04","VLA"
"5","2020-04-04","VLA"
"20","2020-04-04","VLA"
"56","2020-04-04","VLA"
"52","2020-04-04","VLA"
"28","2020-04-04","VLA"
"10","2020-04-04","VLA"
"28","2020-04-04","VLA"
"8","2020-04-04","VLA"
"27","2020-04-04","VLA"
"5","2020-04-05","VLA"
"7","2020-04-05","VLA"
"12","2020-04-05","VLA"
"4","2020-04-05","VLA"
"23","2020-04-05","VLA"
"10","2020-04-05","VLA"
"6","2020-04-05","VLA"
"13","2020-04-05","VLA"
"6","2020-04-05","WAL"
"22","2020-04-05","VLA"
"4","2020-04-05","VLA"
"3","2020-04-06","VLA"
"22","2020-04-06","VLA"
"14","2020-04-06","VLA"
"9","2020-04-06","VLA"
"17","2020-04-06","VLA"
"6","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"31","2020-04-06","VLA"
"13","2020-04-06","VLA"
"15","2020-04-06","VLA"
"6","2020-04-06","VLA"
"21","2020-04-06","VLA"
"11","2020-04-06","VLA"
"6","2020-04-06","VLA"
"5","2020-04-06","VLA"
"34","2020-04-06","VLA"
"101","2020-04-06","VLA"
"6","2020-04-06","VLA"
"2","2020-04-06","VLA"
"20","2020-04-06","VLA"
"26","2020-04-06","VLA"
"15","2020-04-06","WAL"
"16","2020-04-07","WAL"
"17","2020-04-07","VLA"
"14","2020-04-07","VLA"
"5","2020-04-07","VLA"
"30","2020-04-07","VLA"
"16","2020-04-07","VLA"
"7","2020-04-07","VLA"
"6","2020-04-07","VLA"
"8","2020-04-07","VLA"
"16","2020-04-07","VLA"
"16","2020-04-07","VLA"
"7","2020-04-07","VLA"
"3","2020-04-07","VLA"
"0","2020-04-07","VLA"
"9","2020-04-07","VLA"
"28","2020-04-07","VLA"
"2","2020-04-07","VLA"
"73","2020-04-07","VLA"
"7","2020-04-07","VLA"
"10","2020-04-07","VLA"
"8","2020-04-07","VLA"
"2","2020-04-08","VLA"
"17","2020-04-08","VLA"
"2","2020-04-08","VLA"
"10","2020-04-08","VLA"
"3","2020-04-08","VLA"
"12","2020-04-08","VLA"
"28","2020-04-08","VLA"
"18","2020-04-08","VLA"
"4","2020-04-08","VLA"
"4","2020-04-08","VLA"
"11","2020-04-08","VLA"
"10","2020-04-08","VLA"
"8","2020-04-08","VLA"
"12","2020-04-08","VLA"
"8","2020-04-08","VLA"
"13","2020-04-08","VLA"
"16","2020-04-08","VLA"
"20","2020-04-09","VLA"
"6","2020-04-09","VLA"
"9","2020-04-09","VLA"
"6","2020-04-09","VLA"
"30","2020-04-09","VLA"
"17","2020-04-09","VLA"
"18","2020-04-09","VLA"
"6","2020-04-09","VLA"
"13","2020-04-09","VLA"
"7","2020-04-09","VLA"
"16","2020-04-09","VLA"
"12","2020-04-09","WAL"
"2","2020-04-09","VLA"
"54","2020-04-09","VLA"
"16","2020-04-09","VLA"
"0","2020-04-09","VLA"
"4","2020-04-09","VLA"
"20","2020-04-09","VLA"
"9","2020-04-09","VLA"
"020","2020-04-09","VLA"
"8","2020-04-09","VLA"
"14","2020-04-09","VLA"
"3","2020-04-09","VLA"
"10","2020-04-09","VLA"
"12","2020-04-09","VLA"
"1","2020-04-09","VLA"
"3","2020-04-09","VLA"
"9","2020-04-09","VLA"
"3","2020-04-09","VLA"
"15","2020-04-09","VLA"
"10","2020-04-09","VLA"
"12","2020-04-09","VLA"
"15","2020-04-09","VLA"
"27","2020-04-09","VLA"
"13","2020-04-09","VLA"
"4","2020-04-09","VLA"
"10","2020-04-09","VLA"
"35","2020-04-09","VLA"
"1","2020-04-09","VLA"
"32","2020-04-09","VLA"
"10","2020-04-09","VLA"
"3","2020-04-10","VLA"
"80","2020-04-10","VLA"
"2","2020-04-10","VLA"
"14","2020-04-10","VLA"
"3","2020-04-10","VLA"
"8","2020-04-10","VLA"
"18","2020-04-10","VLA"
"15","2020-04-10","VLA"
"6","2020-04-10","VLA"
"14","2020-04-10","VLA"
"7","2020-04-10","VLA"
"13","2020-04-10","WAL"
"13","2020-04-10","VLA"
"5","2020-04-10","VLA"
"38","2020-04-10","VLA"
"18","2020-04-10","VLA"
"4","2020-04-10","VLA"
"1","2020-04-10","VLA"
"17","2020-04-10","VLA"
"7","2020-04-10","VLA"
"16","2020-04-10","VLA"
"19","2020-04-10","VLA"
"27","2020-04-10","VLA"
"20","2020-04-10","VLA"
"10","2020-04-10","VLA"
"4","2020-04-10","VLA"
"8","2020-04-10","VLA"
"10","2020-04-10","VLA"
"4","2020-04-10","VLA"
"18","2020-04-10","VLA"
"3","2020-04-10","VLA"
"4","2020-04-10","VLA"
"3","2020-04-11","VLA"
"3","2020-04-11","VLA"
"6","2020-04-11","VLA"
"14","2020-04-11","VLA"
"8","2020-04-11","VLA"
"0","2020-04-11","VLA"
"71","2020-04-11","VLA"
"8","2020-04-11","WAL"
"0","2020-04-11","VLA"
"24","2020-04-11","VLA"
"10","2020-04-11","VLA"
"6","2020-04-11","VLA"
"18","2020-04-11","VLA"
"2","2020-04-11","VLA"
"7","2020-04-12","VLA"
"4","2020-04-12","VLA"
"5","2020-04-12","VLA"
"20","2020-04-12","VLA"
"3","2020-04-12","VLA"
"0","2020-04-12","VLA"
"9","2020-04-13","VLA"
"13","2020-04-13","VLA"
"0","2020-04-13","VLA"
"11","2020-04-13","VLA"
"20","2020-04-13","VLA"
"5","2020-04-13","VLA"
"10","2020-04-13","VLA"
"5","2020-04-13","VLA"
"4","2020-04-13","VLA"
"67","2020-04-13","VLA"
"0","2020-04-13","VLA"
"2","2020-04-13","VLA"
"0","2020-04-13","VLA"
"25","2020-04-13","VLA"
"0","2020-04-13","VLA"
"12","2020-04-13","VLA"
"4","2020-04-13","VLA"
"5","2020-04-13","VLA"
"6","2020-04-13","VLA"
"5","2020-04-13","VLA"
"19","2020-04-14","VLA"
"7","2020-04-14","VLA"
"15","2020-04-14","VLA"
"13","2020-04-14","VLA"
"11","2020-04-14","VLA"
"5","2020-04-14","VLA"
"5","2020-04-14","VLA"
"22","2020-04-14","VLA"
"5","2020-04-14","VLA"
"5","2020-04-14","VLA"
"1","2020-04-14","VLA"
"24","2020-04-14","VLA"
"13","2020-04-14","VLA"
"7","2020-04-14","VLA"
"26","2020-04-14","VLA"
"21","2020-04-14","VLA"
"18","2020-04-14","VLA"
"6","2020-04-14","VLA"
"10","2020-04-14","VLA"
"31","2020-04-14","VLA"
"14","2020-04-14","VLA"
"12","2020-04-14","VLA"
"7","2020-04-14","VLA"
"9","2020-04-14","VLA"
"45","2020-04-14","VLA"
"29","2020-04-14","VLA"
"10","2020-04-14","VLA"
"23","2020-04-14","VLA"
"22","2020-04-14","VLA"
"16","2020-04-14","VLA"
"4","2020-04-14","VLA"
"7","2020-04-14","VLA"
"39","2020-04-14","VLA"
"4","2020-04-15","VLA"
"3","2020-04-15","VLA"
"5","2020-04-15","VLA"
"22","2020-04-15","VLA"
"8","2020-04-15","VLA"
"33","2020-04-15","VLA"
"15","2020-04-15","VLA"
"16","2020-04-15","VLA"
"22","2020-04-15","VLA"
"2","2020-04-15","VLA"
"20","2020-04-15","VLA"
"2","2020-04-15","VLA"
"13","2020-04-15","VLA"
"16","2020-04-15","VLA"
"5","2020-04-15","VLA"
"17","2020-04-15","VLA"
"13","2020-04-15","VLA"
"4","2020-04-15","VLA"
"23","2020-04-15","VLA"
"11","2020-04-15","VLA"
"6","2020-04-15","VLA"
"10","2020-04-15","VLA"
"3","2020-04-15","VLA"
"16","2020-04-15","VLA"
"9","2020-04-15","VLA"
"5","2020-04-15","VLA"
"14","2020-04-15","VLA"
"10","2020-04-15","VLA"
"8","2020-04-15","VLA"
"2","2020-04-15","VLA"
"10","2020-04-15","VLA"
"13","2020-04-15","VLA"
"2","2020-04-16","VLA"
"5","2020-04-16","VLA"
"21","2020-04-16","VLA"
"11","2020-04-16","VLA"
"12","2020-04-16","VLA"
"1","2020-04-16","VLA"
"18","2020-04-16","VLA"
"5","2020-04-16","VLA"
"30","2020-04-16","VLA"
"13","2020-04-16","VLA"
"1","2020-04-16","VLA"
"17","2020-04-16","VLA"
"14","2020-04-16","VLA"
"13","2020-04-16","VLA"
"19","2020-04-16","VLA"
"13","2020-04-16","VLA"
"6","2020-04-16","VLA"
"5","2020-04-16","VLA"
"14","2020-04-16","VLA"
"11","2020-04-16","VLA"
"5","2020-04-16","VLA"
"5","2020-04-16","VLA"
"3","2020-04-16","VLA"
"010","2020-04-16","VLA"
"3","2020-04-16","VLA"
"7","2020-04-16","VLA"
"25","2020-04-16","VLA"
"17","2020-04-16","VLA"
"15","2020-04-16","VLA"
"0","2020-04-16","VLA"
"5","2020-04-16","VLA"
"10","2020-04-16","VLA"
"10","2020-04-16","VLA"
"10","2020-04-16","VLA"
"84","2020-04-16","VLA"
"23","2020-04-16","VLA"
"14","2020-04-16","VLA"
"9","2020-04-16","VLA"
"11","2020-04-16","VLA"
"3","2020-04-16","VLA"
"9","2020-04-17","VLA"
"22","2020-04-17","VLA"
"6","2020-04-17","VLA"
"26","2020-04-17","VLA"
"17","2020-04-17","VLA"
"8","2020-04-17","VLA"
"5","2020-04-17","VLA"
"15","2020-04-17","VLA"
"13","2020-04-17","VLA"
"3","2020-04-17","VLA"
"63","2020-04-17","VLA"
"3","2020-04-17","VLA"
"7","2020-04-17","VLA"
"4","2020-04-17","VLA"
"7","2020-04-17","VLA"
"21","2020-04-17","VLA"
"7","2020-04-17","VLA"
"20","2020-04-17","VLA"
"11","2020-04-17","VLA"
"5","2020-04-17","VLA"
"18","2020-04-17","VLA"
"9","2020-04-17","WAL"
"3","2020-04-17","VLA"
"6","2020-04-17","VLA"
"4","2020-04-17","VLA"
"7","2020-04-17","VLA"
"6","2020-04-17","VLA"
"12","2020-04-17","VLA"
"8","2020-04-17","VLA"
"13","2020-04-17","VLA"
"16","2020-04-17","VLA"
"2","2020-04-18","VLA"
"7","2020-04-18","VLA"
"25","2020-04-19","VLA"
"0","2020-04-19","VLA"
"6","2020-04-19","VLA"
"54","2020-04-19","VLA"
"7","2020-04-19","VLA"
"1","2020-04-19","VLA"
"1","2020-04-19","VLA"
"13","2020-04-19","VLA"
"10","2020-04-19","VLA"
"8","2020-04-19","VLA"
"2","2020-04-19","VLA"
"11","2020-04-19","VLA"
"9","2020-04-19","VLA"
"8","2020-04-19","VLA"
"24","2020-04-19","VLA"
"3","2020-04-19","VLA"
"3","2020-04-20","VLA"
"11","2020-04-20","VLA"
"11","2020-04-20","VLA"
"2","2020-04-20","VLA"
"17","2020-04-20","VLA"
"20","2020-04-20","VLA"
"33","2020-04-20","VLA"
"8","2020-04-20","VLA"
"0","2020-04-20","VLA"
"22","2020-04-20","VLA"
"6","2020-04-20","VLA"
"14","2020-04-20","VLA"
"0","2020-04-20","VLA"
"8","2020-04-20","VLA"
"1","2020-04-20","VLA"
"9","2020-04-20","VLA"
"7","2020-04-20","VLA"
"33","2020-04-20","VLA"
"9","2020-04-20","VLA"
"9","2020-04-20","VLA"
"7","2020-04-20","VLA"
"20","2020-04-20","VLA"
"8","2020-04-20","VLA"
"16","2020-04-20","VLA"
"9","2020-04-20","VLA"
"8","2020-04-20","VLA"
"9","2020-04-20","VLA"
"13","2020-04-20","VLA"
"15","2020-04-20","VLA"
"9","2020-04-20","VLA"
"24","2020-04-20","VLA"
"14","2020-04-20","VLA"
"39","2020-04-20","VLA"
"6","2020-04-21","VLA"
"9","2020-04-21","VLA"
"4","2020-04-21","VLA"
"13","2020-04-21","VLA"
"17","2020-04-21","VLA"
"20","2020-04-21","VLA"
"12","2020-04-21","VLA"
"7","2020-04-21","VLA"
"24","2020-04-21","VLA"
"12","2020-04-21","VLA"
"6","2020-04-21","VLA"
"34","2020-04-21","VLA"
"33","2020-04-21","VLA"
"27","2020-04-21","VLA"
"19","2020-04-21","VLA"
"4","2020-04-21","VLA"
"5","2020-04-21","VLA"
"2","2020-04-21","VLA"
"5","2020-04-21","VLA"
"4","2020-04-21","VLA"
"14","2020-04-21","VLA"
"3","2020-04-21","VLA"
"10","2020-04-21","VLA"
"8","2020-04-21","VLA"
"55","2020-04-21","VLA"
"10","2020-04-21","VLA"
"34","2020-04-22","VLA"
"16","2020-04-22","VLA"
"7","2020-04-22","VLA"
"26","2020-04-22","VLA"
"13","2020-04-22","VLA"
"6","2020-04-22","VLA"
"13","2020-04-22","WAL"
"16","2020-04-22","VLA"
"11","2020-04-22","VLA"
"12","2020-04-22","VLA"
"2","2020-04-22","VLA"
"9","2020-04-22","VLA"
"21","2020-04-22","VLA"
"4","2020-04-22","VLA"
"6","2020-04-22","VLA"
"8","2020-04-22","VLA"
"16","2020-04-22","VLA"
"15","2020-04-22","VLA"
"9","2020-04-22","VLA"
"6","2020-04-22","VLA"
"9","2020-04-22","VLA"
"12","2020-04-22","VLA"
"16","2020-04-22","VLA"
"7","2020-04-22","VLA"
"8","2020-04-22","VLA"
"9","2020-04-22","VLA"
"6","2020-04-22","VLA"
"10","2020-04-22","VLA"
"11","2020-04-22","VLA"
"1","2020-04-22","VLA"
"11","2020-04-22","VLA"
"6","2020-04-22","VLA"
"3","2020-04-22","VLA"
"22","2020-04-23","VLA"
"6","2020-04-23","VLA"
"14","2020-04-23","VLA"
"9","2020-04-23","VLA"
"14","2020-04-23","VLA"
"5","2020-04-23","VLA"
"6","2020-04-23","VLA"
"12","2020-04-23","VLA"
"3","2020-04-23","VLA"
"7","2020-04-23","VLA"
"5","2020-04-23","VLA"
"26","2020-04-23","VLA"
"18","2020-04-23","VLA"
"9","2020-04-23","VLA"
"2","2020-04-23","VLA"
"5","2020-04-23","VLA"
"15","2020-04-23","VLA"
"3","2020-04-23","VLA"
"12","2020-04-23","VLA"
"15","2020-04-23","VLA"
"2","2020-04-23","VLA"
"4","2020-04-23","VLA"
"27","2020-04-23","VLA"
"5","2020-04-23","VLA"
"7","2020-04-24","VLA"
"8","2020-04-24","VLA"
"16","2020-04-24","VLA"
"21","2020-04-24","VLA"
"3","2020-04-24","VLA"
"11","2020-04-24","VLA"
"18","2020-04-24","VLA"
"15","2020-04-24","VLA"
"18","2020-04-24","VLA"
"5","2020-04-24","VLA"
"16","2020-04-24","VLA"
"11","2020-04-24","VLA"
"7","2020-04-24","VLA"
"20","2020-04-24","VLA"
"4","2020-04-24","VLA"
"21","2020-04-24","VLA"
"4","2020-04-24","VLA"
"2","2020-04-24","VLA"
"5","2020-04-24","VLA"
"2","2020-04-24","VLA"
"5","2020-04-24","VLA"
"16","2020-04-24","VLA"
"14","2020-04-24","VLA"
"13","2020-04-25","VLA"
"9","2020-04-25","VLA"
"28","2020-04-25","VLA"
"3","2020-04-25","VLA"
"9","2020-04-25","VLA"
"10","2020-04-25","VLA"
"3","2020-04-25","VLA"
"6","2020-04-25","VLA"
"8","2020-04-25","VLA"
"0","2020-04-25","VLA"
"0","2020-04-26","VLA"
"15","2020-04-26","VLA"
"14","2020-04-26","VLA"
"1","2020-04-26","VLA"
"5","2020-04-26","VLA"
"8","2020-04-26","VLA"
"4","2020-04-26","VLA"
"1","2020-04-26","VLA"
"0","2020-04-26","VLA"
"14","2020-04-26","VLA"
"9","2020-04-27","VLA"
"17","2020-04-27","VLA"
"20","2020-04-27","VLA"
"7","2020-04-27","VLA"
"8","2020-04-27","VLA"
"15","2020-04-27","VLA"
"4","2020-04-27","VLA"
"1","2020-04-27","VLA"
"0","2020-04-27","VLA"
"18","2020-04-27","VLA"
"2","2020-04-27","VLA"
"3","2020-04-27","VLA"
"29","2020-04-27","VLA"
"5","2020-04-27","VLA"
"33","2020-04-27","VLA"
"8","2020-04-27","VLA"
"10","2020-04-27","VLA"
"8","2020-04-27","VLA"
"19","2020-04-27","VLA"
"5","2020-04-27","VLA"
"12","2020-04-27","VLA"
"20","2020-04-27","VLA"
"18","2020-04-27","VLA"
"13","2020-04-27","VLA"
"19","2020-04-27","VLA"
"5","2020-04-27","VLA"
"4","2020-04-28","VLA"
"9","2020-04-28","VLA"
"18","2020-04-28","VLA"
"106","2020-04-28","VLA"
"23","2020-04-28","VLA"
"23","2020-04-28","VLA"
"17","2020-04-28","VLA"
"3","2020-04-28","VLA"
"28","2020-04-28","VLA"
"3","2020-04-28","VLA"
"3","2020-04-28","VLA"
"13","2020-04-28","VLA"
"20","2020-04-28","VLA"
"10","2020-04-28","VLA"
"14","2020-04-28","VLA"
"5","2020-04-28","VLA"
"4","2020-04-28","VLA"
"9","2020-04-28","VLA"
"8","2020-04-28","VLA"
"16","2020-04-28","VLA"
"10","2020-04-28","VLA"
"7","2020-04-28","VLA"
"17","2020-04-28","VLA"
"3","2020-04-28","VLA"
"16","2020-04-28","VLA"
"11","2020-04-28","VLA"
"9","2020-04-28","VLA"
"6","2020-04-28","VLA"
"7","2020-04-28","VLA"
"18","2020-04-28","VLA"
"14","2020-04-28","VLA"
"8","2020-04-29","VLA"
"72","2020-04-29","VLA"
"2","2020-04-29","VLA"
"7","2020-04-29","VLA"
"11","2020-04-29","VLA"
"15","2020-04-29","VLA"
"6","2020-04-29","VLA"
"7","2020-04-29","VLA"
"8","2020-04-29","VLA"
"8","2020-04-29","VLA"
"4","2020-04-29","VLA"
"5","2020-04-29","VLA"
"7","2020-04-29","VLA"
"5","2020-04-29","VLA"
"5","2020-04-29","VLA"
"4","2020-04-29","VLA"
"7","2020-04-29","VLA"
"22","2020-04-29","VLA"
"11","2020-04-29","VLA"
"16","2020-04-29","VLA"
"16","2020-04-29","VLA"
"2","2020-04-29","VLA"
"0","2020-04-29","VLA"
"12","2020-04-29","VLA"
"3","2020-04-29","VLA"
"19","2020-04-29","VLA"
"12","2020-04-29","VLA"
"7","2020-04-30","VLA"
"6","2020-04-30","VLA"
"3","2020-04-30","VLA"
"17","2020-04-30","VLA"
"8","2020-04-30","VLA"
"10","2020-04-30","VLA"
"1","2020-04-30","VLA"
"5","2020-04-30","VLA"
"12","2020-04-30","VLA"
"11","2020-04-30","VLA"
"8","2020-04-30","VLA"
"2","2020-04-30","VLA"
