"tx_measures_support","d_completed","cd_regio"
"Meer contact vanuit de vbov kring. Niet enkel mails die gestuurd worden, maar ook uitwissling/overleg van de kring online","2020-03-25","VLA"
"Beschermend materiaal","2020-03-25","VLA"
"Mondmaskers, ontsmettingsmiddelen, schorten, ...","2020-03-25","VLA"
"duidelijke, uniforme en wetenschappelijk onderbouwde richtlijnen, voldoende beschermingsmateriaal, tijdelijke nomenclatuur voor telefonische consulten","2020-03-26","VLA"
"Dat Wj herkend worden door de overheid voor ons werk en ook mee in de bedeling van de mondmaskers terecht komen","2020-03-26","VLA"
"Voldoende PBM en een vergoeding voor een videoconcult","2020-03-26","VLA"
"Beschermingsmateriaal","2020-03-26","VLA"
"Beschermingsmateriaal, code voor telefonische consultaties","2020-03-26","VLA"
"Erkenning voor ons vak! Tevens, inventariseer welke vroedvrouwen er tot beschikking zijn om zo ziekenhuizen te ontlasten en (door goede communicatie) een deel van de zorg over te kunnen nemen. Iedereen thuisbevallen kan niet, maar inventariseer mogelijkhe","2020-03-26","VLA"
"x","2020-03-26","VLA"
"duidelijke afspraken rond beschermingsmateriaal + materiaal ter beschikking stellen + telewerking vergoeden","2020-03-26","VLA"
"geen","2020-03-26","BRU"
"Het leveren van beschetmingsmateriaal","2020-03-26","VLA"
"Beschermende middelen","2020-03-26","VLA"
"?","2020-03-26","VLA"
"beschermende schorten, info rond afvalverwerking (mondmaskers/handschoenen/schorten)","2020-03-26","VLA"
"op dit moment geen nood aan extra maatregelen","2020-03-26","VLA"
"meer eenduidigheid in verschillende ziekenhuizen, verschillende teams, zelfde richtlijnen","2020-03-27","VLA"
"Eenvoudige verdeling van beschermingsmateriaal","2020-03-27","VLA"
"Beschermmateriaal","2020-03-27","VLA"
"De verdeling van materiaal aan de eerstelijn is eindelijk op gang gekomen, maar het verloopt erg onduidelijk en verwarrend, gemeentes weten zelf vaak van niets, duidelijkheid hieromtrent is wenselijk","2020-03-27","VLA"
"beschermkledij, goede overdracht vanuit ziekenhuis, meer testen","2020-03-27","VLA"
"Beschermend materiaal voorzien door overheid, financiële tegemoetkoming voor zij die onbetaald 2x/3x zo hard werken","2020-03-27","VLA"
"Meer beschermend materiaal.. meer erkenning van het beroep","2020-03-27","VLA"
"Beschikbaar stellen van beschermingsmateriaal","2020-03-27","VLA"
"Beschermend materiaal en teleconsultaties","2020-03-28","VLA"
"adaptation des codes INAMI","2020-03-28","WAL"
"nomenclatuurnummer voor teleconsult, aanwezigheid van de juiste mondmaskers, overschorten en veiligheidsbrillen","2020-03-28","VLA"
"Teleonthaal voor vragen, online video presentatie, duidelijke instructies rond waar materiaal ophalen en hoeveel 'normaal is'.","2020-03-28","VLA"
"Iedere kring voldoende beschermend materiaal ergens centraal ter beschikking. Vnl schorten","2020-03-28","VLA"
"beschermingsmiddelen, vergoeding teleconsulten, uniform beleid door alle praktijken","2020-03-28","VLA"
"Beschermingsmateriaal, nomenclatuur voor teleconsult","2020-03-28","VLA"
"Financiële tegemoetkoming, gepaste beschermingsmaatregelen","2020-03-29","VLA"
"idem","2020-03-29","VLA"
"Beschermend materiaal van hoofd tot teen krijgen","2020-03-29","VLA"
"Beschermkledij, maskers, alcohol gel,.... voorzien en betere verloning","2020-03-29","VLA"
"/","2020-03-29","VLA"
"beschermingsmateriaal","2020-03-30","VLA"
"Voldoende degelijk beschermend materiaal","2020-04-01","VLA"
"Beschermsmateriaal bij positief geteste gezinnen. Duidelijke richtlijnen bij covid19 positieve moeder naar preventiemaatregelen en vooral de duur van deze.","2020-04-01","VLA"
"Beter voorzorgs materiaal","2020-04-01","VLA"
"Meer PBM: schorten, FFP2-FFP3 maskers, ...","2020-04-01","VLA"
"Er zijn vandaag maatregelen getroffen die ervoor zorgen dat ik me meer gesteund voel .","2020-04-01","VLA"
"De wetenschap dat we ook schorten en haarnetjes ter beschikking zullen krijgen bij een (vermoeden) positieve patiënt. Financiële steun van de overheid.","2020-04-01","VLA"
"degelijke regeling video-consulten","2020-04-01","VLA"
"Nomenclatuur voor telefonische consulten. Duidelijke richtlijnen waar iedereen zich dient aan te houden.","2020-04-01","VLA"
"sneller beschermingsmateriaal ter beschikking (we werken al 2,5w met zelf verworven beschermingsmateriaal en werden in vele lijsten ivm 1e lijnszorg vergeten als zorgverlener); kind en gezin stopt zijn zorgverlening zonder overleg met de betrokken collega","2020-04-01","VLA"
"bereikbaar zijn, informatie doorgeven, coördineren , snelle briefing van veranderingen qua beleid, snelle bedeling van al het nodige materiaal","2020-04-01","VLA"
"Beschermend materiaal","2020-04-01","VLA"
"beschermkledij en bril voor het behandelen van patiënten met symptomen","2020-04-01","VLA"
"Meer communicatie vanuit 2de lijn naar 1ste lijn. Door het zelfstandig werken is het heel erg zoeken (administratief, materieel, financieel, praktisch)","2020-04-01","VLA"
"Verdeling schorten","2020-04-01","VLA"
"Beschermend materiaal","2020-04-01","VLA"
"Beschermende kledij en bril","2020-04-01","VLA"
"voldoende beschermingsmateriaal / financiele steun","2020-04-01","VLA"
"Beschermende kledij, ffp2 maskers beschikbaar stellen bij contact met bevestigde coronapatiënt, mogelijkheid tot online consultatie.","2020-04-01","VLA"
"Dat er nog overschorten kunnen geleverd worden,maar ik besef dat rusthuizen prioritair zijn","2020-04-02","VLA"
"-","2020-04-02","VLA"
"extra beschermmateriaal schorten / handgel / beschermbril / spatscherm","2020-04-02","VLA"
"IK maak mij vooral zorgen over het feit dat het zo rustig is en ben bezorgd over de moeders die thuis zijn met een pasgeboren kindje zonder netwerk en misschien zelfs zonder vroedvrouw!! Ik vrees dan ook voor de nevenschade ervan.","2020-04-02","VLA"
"voldoende ondersteuning op dit moment","2020-04-02","VLA"
"Erkenning van het beroep","2020-04-02","VLA"
"universele info","2020-04-02","VLA"
"Voorlopig voldoende aan de richtlijnen binnen i-mens en de richtlijnen van vbov","2020-04-03","VLA"
"/","2020-04-03","VLA"
"voldoende steun aan richtlijnen VBOV en richtlijnen i-mens","2020-04-03","VLA"
"Voldoende materiaal, erkenning","2020-04-03","VLA"
"Duidelijk, verplichte maatregelen.","2020-04-03","VLA"
"meer beschermingmateriaal","2020-04-03","VLA"
"Dat we zeker altijd meegerekend worden om ook beschermend materiaal te krijgen.","2020-04-03","VLA"
"meer linken tussen praktijken onderling om eventuele overflow op te vangen - meer communicatie tussen ziekenhuizen/kind&gezin/huisartsen en vroedvrouwen","2020-04-03","VLA"
"/","2020-04-03","VLA"
"Ffp3 of ffp2 maskers","2020-04-03","VLA"
"Materiaal - werk/gevarenpremie","2020-04-03","BRU"
"Materiaal, duidelijke richtlijnen","2020-04-03","VLA"
"universele maatregelen","2020-04-03","VLA"
"Protocollen","2020-04-03","VLA"
"De huidige richtlijn voor thuisverpleegkundige is veranderd. Deze wijkt nu af van de richtlijn voor vroedvrouwen. Het wel of niet standaard dragen van een mondmasker/handschoenen blijft precies een discussiepunt.","2020-04-03","VLA"
"Er wordt naar mijn mening al veel steun geboden","2020-04-04","VLA"
"x","2020-04-04","VLA"
"/","2020-04-05","VLA"
"beschermingsmateriaal,","2020-04-05","VLA"
"beschermende kledij, speciale mondmaskers","2020-04-06","VLA"
"/","2020-04-06","VLA"
"Meer materialen zoals beschermschorten","2020-04-06","VLA"
"Nog extra beschermmateriaal zoals schorten voor contact bij vermoeden van besmette patiënt","2020-04-06","VLA"
"-","2020-04-06","VLA"
"-","2020-04-06","VLA"
"Overschorten, handschoenen","2020-04-06","VLA"
"Meer beschermingsmateriaal","2020-04-06","VLA"
"Een soort check-in met het team of individueel om te kijken hoe de vroedvrouw de (werk)situatie kan dragen","2020-04-06","VLA"
"Wij zijn heel blij dat tele-consulten zijn goedgekeurd","2020-04-06","VLA"
"duidelijke richtlijnen in een thuiszorg. Welke organisaties er allemaal nog werken of op welke manier zoals kind en gezin","2020-04-07","VLA"
"vlotte toegang tot voldoende beschermend materiaal","2020-04-07","VLA"
"Grotere toegankelijkheid tot handschoenen, alcogel,..","2020-04-08","VLA"
"-","2020-04-08","VLA"
"/","2020-04-08","VLA"
"Materiaal (ffp2 en beschermende kledij) voor bevestigde covid patienten.","2020-04-08","VLA"
"erkenning van ons ruime  werkveld","2020-04-08","VLA"
"Vandaag op en neer gereden met dringend bloed staal naar labo, kon niet doorgaan in ZH. Veel tijd verloren en wil dit niet doorrekenen aan pt,...","2020-04-08","VLA"
"Betere verdeling van beschermingsmateriaal door de overheid.","2020-04-08","VLA"
"Shorten en eendebekmasker","2020-04-08","VLA"
"-","2020-04-08","VLA"
"/","2020-04-08","VLA"
"Iets meer overleg tussen 1ste en 2de lijn..","2020-04-08","VLA"
"Voldoende materiaal","2020-04-08","VLA"
"voorlopig genoeg aan richtlijnen van de vbov en van i-mens","2020-04-08","VLA"
"BeschermingsMateriaal, werkingspremie","2020-04-08","BRU"
"Beschermende kledij bij contact met covid-19 positieve patiënten.","2020-04-08","VLA"
"Gezien stijgende vraag voor thuisbevallingen: overleg met collega's die thuisevallingen doen.","2020-04-08","VLA"
"gehoord worden! De vroedvrouwen in de lijst van de eerstelijnzorgers plaatsen!!","2020-04-08","VLA"
"deftige maskers en bescherming bij covid + patiënten","2020-04-08","VLA"
"meer transparante feedback","2020-04-08","VLA"
"Extra beschermingsmateriaal","2020-04-08","VLA"
"voldoende aan richtlijnen VBOV en corona richtlijnen i-mens","2020-04-08","VLA"
"meer beschermingsmateriaal, meer communicatie met ziekenhuizen","2020-04-08","VLA"
"Contactmomenten om af te toetsen hoe het met de vroedvrouwen/team gaat. Zowel met werkbelasting als mentaal.","2020-04-08","VLA"
"meer beschermingsmateriaal, premies, erkenning","2020-04-08","VLA"
"herkenning en bescherming","2020-04-08","VLA"
"zijn ondertussen gerealiseerd","2020-04-08","VLA"
"Zelf mogen weten of je antistoffen hebt tegen Covid 19 zou al helpen","2020-04-08","VLA"
"materiaal en steun van de overheid, richtlijnen van de overheid.","2020-04-09","VLA"
"BESCHERMINGSMATERIAAL","2020-04-09","VLA"
"uniforme richtlijnen die iedereen juist (= op dezelfde manier) toepast, juiste informatie naar zwangeren en pas bevallen moeders","2020-04-09","VLA"
"Duidelijke richtlijnen","2020-04-09","VLA"
"Materiaal sneller voor handen","2020-04-09","VLA"
"kan voorolopig niet denken aan iets","2020-04-09","VLA"
"voldoende beschermingsmateriaal verkrijgen (indien nodig)","2020-04-09","VLA"
"financiële steun: het lijkt alsof de praktijk draaiende houden er voor zorgt dat we net buiten alle steunmaatregelen vallen (net geen 60% loonverlies). Qua werkbelasting ervaren we net meer druk.","2020-04-09","VLA"
"eenvoudiger beschikking over beschermingsmateriaal, ontsmettingsproduct voor gebruikte spullen (denk aan bloeddrukmeter) en handalcohol. Op dit moment tenminste; ik heb (nog) geen positief geteste cliënten.","2020-04-09","VLA"
"Beschikbaar stellen van schorten.","2020-04-09","VLA"
"wij doen thuisbevallingen, en bij een Corona besmette moeder in partu, hebben wij onvoldoende beschermingsmateriaal (volledig beschermende schort, oogbescherming)","2020-04-09","VLA"
"Duidelijkheid ivm ppf2 maskers","2020-04-10","VLA"
"Materiaal schorten, maskers, gel,... om correct en veilig te werken","2020-04-10","VLA"
"Als er maskers verdeeld worden uiteindelijk, dan graag met basis kwaliteit. Enkele collega's van onze kring hadden een zeer slecht lot.","2020-04-10","VLA"
"Beschermende kledij beschikbaar maken en duidelijkere richtlijnen omtrent quartaine bij gezinnen","2020-04-13","VLA"
"Beschermende kledij...","2020-04-13","VLA"
"elke vroedvrouw een beschermingspakket in geval van contact met positief gezin","2020-04-13","VLA"
"Meer psychologische ondersteuning, werkbelasting nagaan en beperken, angst bevragen bij de vroedvrouwen","2020-04-13","VLA"
"Bij vaccinatie/ gehoortest van kind en gezin: de kindjes ook wegen graag!","2020-04-13","VLA"
"correctere omschrijving verloning pseudonomenclatuurnummer covidperiode - duur consulten, criteria","2020-04-13","VLA"
"voldoende met de richtlijnen van i-mens en vbov","2020-04-13","VLA"
"FFP2 maskers","2020-04-13","VLA"
"FFP2 maskers en schorten","2020-04-13","VLA"
"Meer beschermingsmateriaal voor het geval we besmette patiënten moeten bezoeken, schorten, spatbril, FFP2 masker.","2020-04-13","VLA"
"Meer erkenning","2020-04-13","VLA"
"Voldoende beschermende kledij","2020-04-13","VLA"
"Financiële hulp bij beschermend materiaal, psychologisch ondersteuning","2020-04-13","VLA"
"Extra beschermingsmiddelen","2020-04-13","VLA"
"Beschermende kledij en masker plastiek","2020-04-13","VLA"
"standaard test op covid 19 bij alle zwangere/pasbevallen vrouwen","2020-04-13","VLA"
"Geen","2020-04-13","VLA"
"meer beschermingsmateriaal, ook voor de thuiszorg! een beter loon","2020-04-13","VLA"
"financiele steun voor de zelfstandige vroedvrouw omwille van verlies van 40 procent tot 50 procent loon","2020-04-13","VLA"
"transparantie en meer middelen","2020-04-13","VLA"
"/","2020-04-13","VLA"
"voorlopig nog geen beschermingskledij beschikbaar via overheidskanalen","2020-04-15","VLA"
"/","2020-04-15","VLA"
"Mondmaskers FFP2 of FFP3. Schorten","2020-04-15","VLA"
"Voorlopig voldoende aan de richtlijnen van i-mens en vbov","2020-04-15","VLA"
"Beschermingsmateriaal","2020-04-15","VLA"
"-","2020-04-15","VLA"
"check-in met vroedvrouwen om te kijken wat de draagkracht is, extra steun nodig,...","2020-04-15","VLA"
"vlotter aan schorten geraken, ze worden ergens gemaakt .... heb me ingeschreven maar al bijna 14dagen niets meer gehoord","2020-04-15","VLA"
"voldoende aan richtlijnen VBOV en i-mens","2020-04-15","VLA"
"ik mis beschermkledij, schort","2020-04-15","VLA"
"beschermingsmateriaal... na > 4weken, enkel 30 mondmaskers per persoon ontvangen, verder NIETS, alles aangekocht zel","2020-04-15","BRU"
"met de genomen maatregelen heb ik , tot nu,voldoende steun","2020-04-15","VLA"
"/","2020-04-15","VLA"
"Voldoende PBM","2020-04-15","VLA"
"Voorlopig voldoende richtlijnen vanuit I-Mens en de VBOV","2020-04-15","VLA"
"vlotte verdeling van mondmaskers","2020-04-15","VLA"
"duidelijkere communicatie, voorzien van schorten en mondmaskers, telecommunicatie aan minder voorwaarden laten voldoen","2020-04-16","VLA"
"beschermingsmateriaal, overkoepelende richtlijnen mbt bevallen in tijden van corona, nu is het verschillend per ziekenhuis, moeilijk voor de ouders en ons werk","2020-04-17","VLA"
"meer extra beschermingsmateriaal zoals beschermingspakken en ffp2 maskers","2020-04-18","VLA"
"beschermbril","2020-04-19","VLA"
"Voorlopig voldoende aan de richlijnen binnen i-mens en de richtlijnen van vbov","2020-04-20","VLA"
"makkelijker materiaal beschikbaar bestellen","2020-04-20","VLA"
"/","2020-04-20","VLA"
"Erkend worden door de overheid","2020-04-20","VLA"
"Meer hulp in beschermende materialen","2020-04-20","VLA"
"voldoende PBM","2020-04-20","VLA"
"financiele steun, want uiteindelijk verliezen we wel loon maar hebben net geen recht op die premie","2020-04-20","VLA"
"voldoende steun aan maatregelen vbov en i-mens","2020-04-20","VLA"
"zie eerder","2020-04-20","VLA"
"Voorlopig voldoende richtlijnen vanuit I-Mens en de VBOV","2020-04-20","VLA"
"de video calls zeker hele tijd laten verder lopen tot na het vaccin","2020-04-20","VLA"
"Dat de vroedvrouw kan getest worden als ze onbeschermd contact heeft gehad en lichte symptomen heeft.","2020-04-20","VLA"
"check-in met vroedvrouwen om te kijken wat de draagkracht is, extra steun nodig,...","2020-04-20","VLA"
"beschermende schorten...","2020-04-20","VLA"
"Beschermkledij","2020-04-20","VLA"
"adviezen volgens de richtlijnen van de overheid die door alle vroedvrouwen op dezelfde manier worden toegepast en waarover uniform wordt geïnformeerd","2020-04-20","VLA"
"Schorten, meer alcogel en ontsmettingsmiddel voor materiaal","2020-04-20","VLA"
"Erkenning van de vroedvrouw als zorgverlener + erkenning 1e lijn of thuiszorg + sneller voorzien van beschermingsmateriaal (vroedvrouwen worden niet of zelden vermeld bij acties + het duurde 3 weken voor 1e levering mondmaskers via gemeente)","2020-04-20","VLA"
"Beschermingsmateriaal","2020-04-20","VLA"
"beschermingsmteriaal","2020-04-20","BRU"
"patiente vragen getest in het ziekenhuis, ze vragen aan ons of wij getest zijn. Helaas is dit niet zo en komen van huis naar huis. Veel ouders zouden graag willen weten of hun vroedvrouw besmet is of niet om ze veilig in hun thuisomgeving binnen te laten.","2020-04-20","VLA"
"Meer pbm","2020-04-20","VLA"
"beschermingsmateriaal","2020-04-21","VLA"
"/","2020-04-21","VLA"
"betere beschermingsmiddelen zoals schorten en FPP2 masker bij positief geteste patiënten","2020-04-21","VLA"
"Betere beschikbaarheid van beschermingsmateriaal zonder dat hier woekerprijzen voor gevraagd worden.","2020-04-21","VLA"
"erkenning van eerste lijn in de bredere coronaproblematiek, aanbieden van beschermingsmateriaal voor vroedvrouwen in de eerste lijn, risicopremie","2020-04-22","VLA"
"voldoende beschermende materiaal zoals FFP2 maskers, schorten..","2020-04-22","VLA"
"Ik had graag meer materiaal gehad, nu heb ik al veel geld uitgegeven. Dan komen er regels voor teleconsult. Mijn mensen spreken soms geen Nederlands of een andere gangbare taal en werk ik via googletanslate.","2020-04-22","VLA"
"Concrete informatie rond heropstarten alle activiteiten ifv planning","2020-04-22","VLA"
"voldoende aan maatregelen imens en vbov","2020-04-22","VLA"
"Voorlopig voldoende richtlijnen vanuit I-Mens en de VBOV","2020-04-22","VLA"
"Duidelijke do en don'ts","2020-04-22","VLA"
"/","2020-04-22","VLA"
"Het vlotter beschikbaar stellen van maskers en schorten","2020-04-22","VLA"
"Misschien nog meer duidelijke richtlijnen en sturen op het naleven ervan  (ik stel vast dat vroedvrouwen  toch nog babymassages doen, infosessies, etc.) Anderen weigeren nieuwe patiënten te aanvaarden zodat ze onder de 60% loon komen en de premie kn aanvr","2020-04-22","VLA"
"-","2020-04-22","VLA"
"extra schorten voor het geval er een covidpositieve patiënt zou zijn","2020-04-22","VLA"
"Beschermingsmateriaal","2020-04-22","VLA"
"Duidelijke richtlijnen over thuisbevallingen in tijden van corona (wanneer wel, niet? bijvoorbeeld bij vermoedelijk doorgemaakte infectie met milde symptomen mag er na genezing een thuisbevalling gebeuren?)","2020-04-22","VLA"
"Niet genoeg mondmaskers. Geen FFP2 masker voorradig voor vrvr, shorten, geen duidelijkheid rond de niet-Essentiële consulten... op FB te zien dat bepaalde vrvr'en babymassage geven???dat bepaalde zelfstand","2020-04-22","VLA"
"voorziening beschermingsmateriaal","2020-04-22","VLA"
"/","2020-04-22","VLA"
"Dat we van elke pas bevallen moeder de status kennen en ook van alle vroedvrouwen in de praktijk.","2020-04-22","VLA"
"voldoende PBM","2020-04-22","VLA"
"beschermingsmateriaal","2020-04-22","VLA"
"check-in met vroedvrouwen om te kijken wat de draagkracht is, extra steun nodig,...","2020-04-22","VLA"
"x","2020-04-23","VLA"
"Extra ondersteuning vrvr. Welk kanaal webinar, videocalls. Gezinnen hebben extra nood aan psychosociale ondersteuning","2020-04-23","VLA"
"voorlopig geen extra maatregelen nodig","2020-04-23","VLA"
"Betrouwbare testen op corona, aangezien nog 30% vals negatief is, erg beangstigend!","2020-04-23","VLA"
"erkenning","2020-04-23","VLA"
"/","2020-04-27","VLA"
"duidelijke regels hoe het nu verder moe, maar ik heb vernomen, dat ze hieraan werken","2020-04-27","VLA"
"Voldoende PBM","2020-04-27","VLA"
"We bieden heel veel mentale ondersteuning aan jonge ouders, dat is heel zwaar mentaal, extra ondersteuning zou kunnen helpen. Jonge ouders zijn erg geïsoleerd, kunnen soms moeilijk de moed erin houden.","2020-04-27","VLA"
"beu geantwoord ;(","2020-04-27","BRU"
"voldoende ffp2 maskers en schorten voorzien bij besmette patiënten","2020-04-27","VLA"
"voldoende beschermingsmateriaal","2020-04-27","VLA"
"duidelijkere richtlijnen noodzakelijk zorg, en dat iedere zich houdt aan deze richtlijnen","2020-04-27","VLA"
"alle patienten testen op covid 19","2020-04-27","VLA"
"Maatregelen mbt heropstart op lange termijn. Wanneer workshops?","2020-04-27","VLA"
"ik wacht momenteel op duidelijke richtlijnen rond de exitstrategie. Welke invloed heeft dat op de manier zoals we nu werken, ...","2020-04-27","VLA"
"BESCHERMSCHORTEN","2020-04-27","VLA"
"financieel steun of hulp bij schoolwerk kinderen","2020-04-27","VLA"
"Beschermkledij voor contact met besmette personen","2020-04-27","VLA"
"voldoende maatregelen en ondersteuning","2020-04-27","VLA"
