"TX_MID_PROF_CIRCLE","d_completed","cd_regio"
"Kring Waas en Dender","2020-04-08","VLA"
"Kring Asse","2020-04-08","VLA"
"Kring Oost Brabant","2020-04-08","VLA"
"Kring Zuiderkempen","2020-04-08","VLA"
"Kring Midden Limburg","2020-04-08","VLA"
"Kring Noord West Vlaanderen","2020-04-08","VLA"
"Kring Asse","2020-04-08","VLA"
"Kring Centraal Antwerpen","2020-04-08","VLA"
"Kring Oost Brabant","2020-04-09","VLA"
"Kring Aalst","2020-04-09","VLA"
"Kring Centraal Antwerpen","2020-04-09","VLA"
"Kring Dijle Nete","2020-04-09","VLA"
"Kring Centraal Antwerpen","2020-04-09","VLA"
"Kring Gent","2020-04-09","VLA"
"Kring Zuiderkempen","2020-04-09","VLA"
"Kring Centraal Antwerpen","2020-04-09","VLA"
"Kring Gent","2020-04-09","VLA"
"Kring Zuiderkempen","2020-04-09","VLA"
"Kring Oost Brabant","2020-04-09","VLA"
"Kring Noord Limburg","2020-04-10","VLA"
"Kring Gent","2020-04-10","VLA"
"Kring Gent","2020-04-10","VLA"
"Kring Noorderkempen","2020-04-13","VLA"
"Kring Oost Brabant","2020-04-13","VLA"
"Kring Noord West Vlaanderen","2020-04-13","VLA"
"Kring Noord West Vlaanderen","2020-04-13","VLA"
"Kring Midden Limburg","2020-04-13","VLA"
"Kring Oost Brabant","2020-04-13","VLA"
"Kring Midden Limburg","2020-04-13","VLA"
"Kring Gent","2020-04-13","VLA"
"Kring Centraal Antwerpen","2020-04-13","VLA"
"Kring Noord Limburg","2020-04-13","VLA"
"Kring Noord West Vlaanderen","2020-04-13","VLA"
"Kring Noorderkempen","2020-04-13","VLA"
"Kring Zuid West Vlaanderen","2020-04-13","VLA"
"Kring Zuid West Vlaanderen","2020-04-13","VLA"
"Kring Oost Brabant","2020-04-13","VLA"
"Kring Noord West Vlaanderen","2020-04-13","VLA"
"Kring Centraal Antwerpen","2020-04-13","VLA"
"Kring Zuid West Vlaanderen","2020-04-13","VLA"
"Kring Gent","2020-04-13","VLA"
"Kring Centraal Antwerpen","2020-04-13","VLA"
"Kring Zuid West Vlaanderen","2020-04-13","VLA"
"Kring Centraal Antwerpen","2020-04-15","VLA"
"Kring Noord West Vlaanderen","2020-04-15","VLA"
"Kring Brussel","2020-04-15","BRU"
"Kring Noord West Vlaanderen","2020-04-15","VLA"
"Kring Oost Brabant","2020-04-15","VLA"
"Kring Noorderkempen","2020-04-15","VLA"
"Kring Gent","2020-04-15","VLA"
"Kring Dijle Nete","2020-04-15","VLA"
"Kring Noorderkempen","2020-04-15","VLA"
"Kring Midden Limburg","2020-04-15","VLA"
"Kring Zuiderkempen","2020-04-15","VLA"
"Kring Midden Limburg","2020-04-15","VLA"
"Kring Dijle Nete","2020-04-15","VLA"
"Kring Oost Brabant","2020-04-15","VLA"
"Kring Waas en Dender","2020-04-15","VLA"
"Kring Gent","2020-04-15","VLA"
"Kring Vlaamse Ardennen","2020-04-16","VLA"
"Kring Oost Brabant","2020-04-17","VLA"
"Kring Zuid Limburg","2020-04-18","VLA"
"Kring Waas en Dender","2020-04-19","VLA"
"Kring Noorderkempen","2020-04-20","VLA"
"Kring Centraal Antwerpen","2020-04-20","VLA"
"Kring Noorderkempen","2020-04-20","VLA"
"Kring Brussel","2020-04-20","BRU"
"Kring Midden Limburg","2020-04-20","VLA"
"Kring Oost Brabant","2020-04-20","VLA"
"Kring Midden Limburg","2020-04-20","VLA"
"Kring Zuid West Vlaanderen","2020-04-20","VLA"
"Kring Noord West Vlaanderen","2020-04-20","VLA"
"Kring Vlaamse Ardennen","2020-04-20","VLA"
"Kring Gent","2020-04-20","VLA"
"Kring Midden Limburg","2020-04-20","VLA"
"Kring Waas en Dender","2020-04-20","VLA"
"Kring Vlaamse Ardennen","2020-04-20","VLA"
"Kring Noorderkempen","2020-04-20","VLA"
"Kring Noord West Vlaanderen","2020-04-20","VLA"
"Kring Oost Brabant","2020-04-20","VLA"
"Kring Centraal Antwerpen","2020-04-20","VLA"
"Kring Dijle Nete","2020-04-20","VLA"
"Kring Zuiderkempen","2020-04-20","VLA"
"Kring Noord West Vlaanderen","2020-04-20","VLA"
