"cd_scale_feel_supported_gov","d_completed","cd_regio"
"2","2020-04-20","VLA"
"8","2020-04-20","VLA"
"2","2020-04-20","VLA"
"4","2020-04-21","VLA"
"0","2020-04-21","VLA"
"7","2020-04-21","VLA"
"7","2020-04-21","VLA"
"5","2020-04-22","VLA"
"3","2020-04-22","VLA"
"7","2020-04-22","VLA"
"5","2020-04-22","VLA"
"2","2020-04-22","VLA"
"6","2020-04-22","VLA"
"5","2020-04-22","VLA"
"5","2020-04-22","VLA"
"1","2020-04-22","VLA"
"2","2020-04-22","VLA"
"7","2020-04-22","VLA"
"9","2020-04-22","VLA"
"7","2020-04-22","VLA"
"2","2020-04-22","VLA"
"4","2020-04-22","VLA"
"8","2020-04-22","VLA"
"2","2020-04-22","VLA"
"1","2020-04-22","VLA"
"5","2020-04-22","VLA"
"5","2020-04-22","VLA"
"6","2020-04-22","VLA"
"6","2020-04-23","VLA"
"2","2020-04-23","VLA"
"8","2020-04-23","VLA"
"6","2020-04-23","VLA"
"7","2020-04-23","VLA"
"8","2020-04-27","VLA"
"8","2020-04-27","VLA"
"6","2020-04-27","VLA"
"5","2020-04-27","VLA"
"5","2020-04-27","VLA"
"8","2020-04-27","VLA"
"5","2020-04-27","VLA"
"2","2020-04-27","VLA"
"7","2020-04-27","VLA"
"3","2020-04-27","VLA"
"2","2020-04-27","VLA"
"5","2020-04-27","VLA"
"1","2020-04-27","VLA"
"6","2020-04-27","VLA"
"6","2020-04-27","VLA"
"3","2020-04-27","BRU"
"6","2020-04-27","VLA"
"5","2020-04-27","VLA"
"3","2020-04-27","VLA"
"3","2020-04-27","VLA"
"2","2020-04-27","VLA"
"6","2020-04-28","VLA"
"7","2020-04-28","VLA"
"5","2020-04-28","VLA"
"6","2020-04-28","VLA"
"5","2020-04-28","VLA"
"2","2020-04-28","VLA"
"1","2020-04-29","BRU"
"5","2020-04-29","VLA"
"5","2020-04-29","VLA"
"4","2020-04-29","VLA"
"7","2020-04-29","VLA"
"6","2020-04-29","VLA"
"2","2020-04-29","VLA"
"3","2020-04-29","VLA"
"7","2020-04-29","VLA"
"7","2020-04-29","VLA"
"6","2020-04-29","BRU"
"7","2020-04-29","VLA"
"5","2020-04-29","VLA"
"2","2020-04-29","VLA"
"2","2020-04-29","VLA"
"3","2020-04-29","VLA"
"3","2020-04-29","VLA"
"3","2020-04-29","VLA"
"1","2020-04-29","VLA"
"6","2020-04-29","VLA"
"8","2020-04-29","VLA"
"8","2020-04-29","VLA"
"6","2020-05-01","VLA"
"8","2020-05-02","VLA"
"4","2020-05-04","VLA"
"2","2020-05-04","VLA"
"7","2020-05-04","VLA"
"5","2020-05-04","VLA"
"5","2020-05-04","VLA"
"5","2020-05-04","VLA"
"5","2020-05-04","VLA"
"6","2020-05-04","VLA"
"8","2020-05-04","VLA"
"1","2020-05-04","VLA"
"1","2020-05-04","VLA"
"7","2020-05-04","VLA"
"9","2020-05-04","VLA"
"7","2020-05-04","VLA"
"6","2020-05-04","VLA"
"5","2020-05-04","VLA"
"8","2020-05-04","VLA"
"8","2020-05-04","VLA"
"2","2020-05-05","VLA"
"5","2020-05-05","VLA"
"2","2020-05-05","VLA"
"6","2020-05-06","VLA"
"5","2020-05-06","VLA"
"5","2020-05-06","VLA"
"4","2020-05-06","VLA"
"5","2020-05-06","VLA"
"6","2020-05-06","VLA"
"5","2020-05-06","VLA"
"8","2020-05-06","VLA"
"2","2020-05-06","VLA"
"4","2020-05-06","VLA"
"2","2020-05-06","VLA"
"1","2020-05-06","VLA"
"5","2020-05-06","VLA"
"8","2020-05-07","VLA"
"8","2020-05-08","VLA"
"7","2020-05-08","VLA"
"5","2020-05-08","VLA"
"6","2020-05-08","VLA"
"8","2020-05-09","VLA"
"7","2020-05-11","VLA"
"8","2020-05-11","VLA"
"4","2020-05-11","VLA"
"0","2020-05-11","VLA"
"2","2020-05-11","VLA"
"5","2020-05-11","VLA"
"7","2020-05-11","VLA"
"7","2020-05-11","VLA"
"5","2020-05-11","VLA"
"6","2020-05-11","VLA"
"5","2020-05-12","VLA"
"7","2020-05-12","VLA"
"7","2020-05-12","VLA"
"4","2020-05-13","VLA"
"8","2020-05-13","VLA"
"7","2020-05-13","VLA"
"2","2020-05-13","VLA"
"8","2020-05-13","VLA"
"8","2020-05-13","VLA"
"6","2020-05-13","VLA"
"0","2020-05-13","VLA"
"6","2020-05-14","VLA"
"5","2020-05-18","VLA"
"7","2020-05-18","VLA"
"9","2020-05-18","VLA"
"7","2020-05-18","VLA"
"4","2020-05-18","VLA"
"5","2020-05-18","VLA"
"5","2020-05-18","VLA"
"7","2020-05-19","VLA"
"8","2020-05-20","VLA"
"5","2020-05-20","VLA"
"7","2020-05-20","VLA"
"6","2020-05-20","VLA"
"8","2020-05-20","VLA"
"4","2020-05-20","VLA"
"7","2020-05-20","VLA"
"5","2020-05-20","VLA"
"8","2020-05-20","VLA"
"8","2020-05-22","VLA"
"0","2020-05-22","VLA"
"5","2020-05-22","VLA"
"6","2020-05-25","VLA"
"7","2020-05-25","VLA"
"7","2020-05-25","VLA"
"8","2020-05-25","VLA"
"6","2020-05-25","VLA"
"6","2020-05-25","VLA"
"6","2020-05-26","BRU"
