"nr_num_patients_yesterday","d_completed","cd_regio"
"35","2020-03-26","VLA"
"68","2020-03-26","VLA"
"140","2020-03-26","VLA"
"140","2020-03-26","VLA"
"120","2020-03-26","VLA"
"40","2020-03-26","VLA"
"206","2020-03-26","VLA"
"125","2020-03-26","WAL"
"90","2020-03-26","VLA"
"49","2020-03-26","VLA"
"150","2020-03-26","VLA"
"60","2020-03-26","BRU"
"70","2020-03-26","WAL"
"120","2020-03-26","VLA"
"74","2020-03-26","WAL"
"100","2020-03-26","VLA"
"180","2020-03-26","WAL"
"60","2020-03-26","VLA"
"70","2020-03-26","VLA"
"50","2020-03-26","VLA"
"130","2020-03-26","VLA"
"145","2020-03-26","WAL"
"50","2020-03-26","WAL"
"91","2020-03-26","VLA"
"93","2020-03-26","VLA"
"110","2020-03-26","WAL"
"120","2020-03-26","VLA"
"160","2020-03-26","VLA"
"189","2020-03-26","BRU"
"57","2020-03-26","VLA"
"70","2020-03-26","VLA"
"60","2020-03-26","BRU"
"140","2020-03-26","VLA"
"120","2020-03-26","VLA"
"95","2020-03-26","VLA"
"120","2020-03-26","WAL"
"80","2020-03-26","VLA"
"75","2020-03-26","VLA"
"101","2020-03-26","VLA"
"93","2020-03-26","WAL"
"70","2020-03-26","VLA"
"80","2020-03-26","VLA"
"86","2020-03-26","BRU"
"175","2020-03-26","VLA"
"75","2020-03-26","VLA"
"60","2020-03-26","BRU"
"2","2020-03-26","WAL"
"120","2020-03-26","VLA"
"130","2020-03-26","BRU"
"107","2020-03-26","VLA"
"50","2020-03-26","VLA"
"150","2020-03-26","WAL"
"63","2020-03-26","VLA"
"70","2020-03-26","WAL"
"90","2020-03-26","VLA"
"90","2020-03-26","VLA"
"96","2020-03-26","WAL"
"79","2020-03-26","VLA"
"62","2020-03-26","VLA"
"70","2020-03-26","WAL"
"74","2020-03-26","VLA"
"80","2020-03-26","WAL"
"95","2020-03-26","VLA"
"130","2020-03-26","VLA"
"180","2020-03-26","VLA"
"213","2020-03-26","VLA"
"0","2020-03-26","VLA"
"300","2020-03-26","VLA"
"50","2020-03-26","VLA"
"354","2020-03-26","WAL"
"92","2020-03-26","VLA"
"180","2020-03-26","WAL"
"125","2020-03-26","VLA"
"111","2020-03-27","VLA"
"120","2020-03-27","VLA"
"160","2020-03-27","VLA"
"50","2020-03-27","VLA"
"65","2020-03-27","VLA"
"482","2020-03-27","VLA"
"43","2020-03-27","VLA"
"100","2020-03-27","BRU"
"77","2020-03-27","WAL"
"90","2020-03-27","WAL"
"22","2020-03-27","VLA"
"83","2020-03-27","VLA"
"98","2020-03-27","VLA"
"180","2020-03-27","VLA"
"117","2020-03-27","VLA"
"25","2020-03-27","VLA"
"116","2020-03-27","VLA"
"85","2020-03-27","VLA"
"120","2020-03-27","BRU"
"127","2020-03-27","BRU"
"18","2020-03-27","WAL"
"70","2020-03-27","VLA"
"180","2020-03-27","WAL"
"112","2020-03-27","VLA"
"35","2020-03-27","VLA"
"38","2020-03-27","WAL"
"71","2020-03-27","BRU"
"150","2020-03-27","WAL"
"70","2020-03-27","WAL"
"75","2020-03-27","VLA"
"95","2020-03-27","VLA"
"150","2020-03-27","WAL"
"50","2020-03-27","VLA"
"40","2020-03-27","VLA"
"60","2020-03-27","VLA"
"149","2020-03-27","VLA"
"68","2020-03-27","VLA"
"160","2020-03-27","VLA"
"51","2020-03-27","VLA"
"170","2020-03-27","VLA"
"140","2020-03-27","VLA"
"70","2020-03-27","WAL"
"95","2020-03-27","WAL"
"40","2020-03-27","BRU"
"155","2020-03-27","BRU"
"100","2020-03-27","WAL"
"38","2020-03-27","VLA"
"32","2020-03-27","WAL"
"77","2020-03-27","VLA"
"60","2020-03-27","VLA"
"80","2020-03-27","BRU"
"140","2020-03-27","BRU"
"66","2020-03-27","WAL"
"100","2020-03-27","VLA"
"70","2020-03-27","VLA"
"77","2020-03-27","WAL"
"39","2020-03-27","VLA"
"61","2020-03-27","VLA"
"140","2020-03-27","VLA"
"52","2020-03-27","VLA"
"13","2020-03-27","BRU"
"110","2020-03-27","VLA"
"103","2020-03-27","VLA"
"55","2020-03-27","WAL"
"100","2020-03-27","VLA"
"280","2020-03-27","VLA"
"70","2020-03-27","VLA"
"70","2020-03-27","WAL"
"139","2020-03-27","WAL"
"100","2020-03-27","WAL"
"100","2020-03-27","VLA"
"50","2020-03-27","VLA"
"100","2020-03-27","BRU"
"60","2020-03-27","WAL"
"106","2020-03-27","VLA"
"80","2020-03-27","VLA"
"110","2020-03-27","WAL"
"55","2020-03-27","WAL"
"3000","2020-03-27","VLA"
"52","2020-03-27","VLA"
"83","2020-03-27","VLA"
"28","2020-03-27","WAL"
"100","2020-03-27","WAL"
"65","2020-03-27","VLA"
"190","2020-03-27","WAL"
"120","2020-03-27","BRU"
"96","2020-03-27","WAL"
"20","2020-03-27","WAL"
"52","2020-03-27","WAL"
"74","2020-03-27","VLA"
"113","2020-03-27","VLA"
"250","2020-03-27","WAL"
"145","2020-03-27","BRU"
"120","2020-03-27","VLA"
"85","2020-03-27","BRU"
"80","2020-03-27","VLA"
"65","2020-03-27","WAL"
"160","2020-03-27","WAL"
"65","2020-03-27","VLA"
"90","2020-03-27","WAL"
"31","2020-03-27","WAL"
"85","2020-03-27","VLA"
"89","2020-03-27","VLA"
"95","2020-03-27","BRU"
"100","2020-03-27","WAL"
"108","2020-03-27","VLA"
"75","2020-03-27","WAL"
"100","2020-03-27","VLA"
"80","2020-03-27","VLA"
"70","2020-03-27","WAL"
"67","2020-03-27","BRU"
"75","2020-03-27","VLA"
"87","2020-03-27","WAL"
"106","2020-03-27","VLA"
"65","2020-03-27","VLA"
"119","2020-03-27","WAL"
"70","2020-03-27","WAL"
"180","2020-03-27","WAL"
"99","2020-03-27","BRU"
"124","2020-03-27","VLA"
"99","2020-03-27","VLA"
"75","2020-03-27","VLA"
"52","2020-03-27","VLA"
"100","2020-03-27","VLA"
"80","2020-03-27","WAL"
"177","2020-03-27","WAL"
"136","2020-03-27","BRU"
"30","2020-03-27","WAL"
"70","2020-03-27","BRU"
"150","2020-03-27","BRU"
"76","2020-03-27","WAL"
"80","2020-03-27","WAL"
"86","2020-03-27","VLA"
"69","2020-03-27","WAL"
"130","2020-03-27","VLA"
"53","2020-03-27","BRU"
"10","2020-03-27","BRU"
"87","2020-03-27","WAL"
"85","2020-03-27","VLA"
"35","2020-03-27","BRU"
"85","2020-03-27","WAL"
"160","2020-03-27","VLA"
"29","2020-03-27","BRU"
"150","2020-03-27","VLA"
"130","2020-03-27","BRU"
"80","2020-03-27","VLA"
"65","2020-03-28","VLA"
"150","2020-03-28","VLA"
"95","2020-03-28","VLA"
"50","2020-03-28","VLA"
"80","2020-03-28","BRU"
"46","2020-03-28","VLA"
"160","2020-03-28","BRU"
"95","2020-03-28","VLA"
"150","2020-03-28","BRU"
"130","2020-03-28","WAL"
"80","2020-03-28","VLA"
"70","2020-03-28","BRU"
"65","2020-03-28","VLA"
"40","2020-03-28","WAL"
"30","2020-03-28","VLA"
"80","2020-03-28","WAL"
"82","2020-03-28","VLA"
"120","2020-03-28","BRU"
"94","2020-03-28","VLA"
"385","2020-03-28","BRU"
"80","2020-03-28","VLA"
"61","2020-03-28","VLA"
"89","2020-03-28","VLA"
"49","2020-03-28","VLA"
"90","2020-03-28","VLA"
"180","2020-03-28","VLA"
"80","2020-03-28","WAL"
"135","2020-03-28","WAL"
"100","2020-03-28","VLA"
"100","2020-03-28","BRU"
"72","2020-03-28","BRU"
"80","2020-03-29","WAL"
"120","2020-03-29","WAL"
"290","2020-03-29","VLA"
"172","2020-03-29","VLA"
"90","2020-03-29","BRU"
"187","2020-03-29","WAL"
"80","2020-03-29","BRU"
"130","2020-03-29","VLA"
"150","2020-03-29","VLA"
"150","2020-03-29","VLA"
"32","2020-03-29","VLA"
"140","2020-03-29","VLA"
"110","2020-03-29","BRU"
"80","2020-03-29","VLA"
"90","2020-03-29","BRU"
"100","2020-03-29","WAL"
"127","2020-03-29","BRU"
"57","2020-03-30","WAL"
"76","2020-03-30","WAL"
"100","2020-03-30","WAL"
"100","2020-03-30","WAL"
"130","2020-03-30","WAL"
"450","2020-03-30","WAL"
"51","2020-03-30","BRU"
"160","2020-03-30","WAL"
"98","2020-03-30","VLA"
"65","2020-03-30","WAL"
"100","2020-03-30","BRU"
"130","2020-03-30","WAL"
"50","2020-03-30","WAL"
"140","2020-03-30","WAL"
"60","2020-03-30","WAL"
"130","2020-03-30","WAL"
"150","2020-03-30","WAL"
"95","2020-03-30","WAL"
"110","2020-03-30","WAL"
"173","2020-03-30","VLA"
"50","2020-03-30","WAL"
"41","2020-03-30","WAL"
"0","2020-03-30","VLA"
"130","2020-03-30","WAL"
"080","2020-03-30","BRU"
"51","2020-03-30","WAL"
"98","2020-03-30","VLA"
"220","2020-03-30","WAL"
"115","2020-03-30","BRU"
"100","2020-03-30","VLA"
"0","2020-03-30","VLA"
"5","2020-03-30","WAL"
"141","2020-03-30","VLA"
"115","2020-03-30","WAL"
"200","2020-03-30","WAL"
"100","2020-03-30","WAL"
"69","2020-03-30","VLA"
"86","2020-03-30","WAL"
"100","2020-03-30","WAL"
"41","2020-03-31","VLA"
"35","2020-03-31","VLA"
"75","2020-03-31","VLA"
"115","2020-03-31","VLA"
"109","2020-03-31","WAL"
"100","2020-03-31","WAL"
"120","2020-03-31","WAL"
"0","2020-03-31","VLA"
"78","2020-03-31","WAL"
"120","2020-03-31","VLA"
"136","2020-03-31","WAL"
"133","2020-03-31","WAL"
"24","2020-03-31","VLA"
"120","2020-03-31","WAL"
"70","2020-03-31","WAL"
"160","2020-03-31","WAL"
"63","2020-03-31","WAL"
"134","2020-03-31","WAL"
"87","2020-03-31","VLA"
"75","2020-03-31","WAL"
"105","2020-03-31","WAL"
"120","2020-03-31","WAL"
"45","2020-03-31","VLA"
"218","2020-03-31","WAL"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","BRU"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","BRU"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","WAL"
"","2020-04-01","WAL"
"","2020-04-01","BRU"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","WAL"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","BRU"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","BRU"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","BRU"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"35","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","BRU"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","BRU"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","BRU"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","BRU"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","BRU"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","BRU"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","BRU"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"121","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","BRU"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","BRU"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","BRU"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","BRU"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","BRU"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","BRU"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","WAL"
"","2020-04-01","WAL"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","BRU"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","WAL"
"","2020-04-01","BRU"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
"","2020-04-01","VLA"
"","2020-04-01","BRU"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","BRU"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","WAL"
