"nr_num_clients_phone_yesterday","d_completed","cd_regio"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","BRU"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-21","VLA"
"","2020-04-21","VLA"
"","2020-04-21","VLA"
"","2020-04-21","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-23","VLA"
"","2020-04-23","VLA"
"","2020-04-23","VLA"
"","2020-04-23","VLA"
"","2020-04-23","VLA"
"","2020-04-27","VLA"
"","2020-04-27","VLA"
"","2020-04-27","VLA"
"","2020-04-27","VLA"
"","2020-04-27","VLA"
"","2020-04-27","VLA"
"","2020-04-27","VLA"
"","2020-04-27","VLA"
"","2020-04-27","BRU"
"","2020-04-27","VLA"
"","2020-04-27","VLA"
"","2020-04-27","VLA"
"","2020-04-27","VLA"
"","2020-04-27","VLA"
"","2020-04-27","VLA"
"","2020-04-27","VLA"
"","2020-04-27","VLA"
"","2020-04-27","VLA"
"","2020-04-27","VLA"
"","2020-04-27","VLA"
"","2020-04-27","VLA"
"","2020-04-28","VLA"
"","2020-04-28","VLA"
"","2020-04-28","VLA"
"","2020-04-28","VLA"
"","2020-04-28","VLA"
"","2020-04-28","VLA"
"","2020-04-29","VLA"
"","2020-04-29","VLA"
"","2020-04-29","VLA"
"","2020-04-29","VLA"
"","2020-04-29","VLA"
"","2020-04-29","VLA"
"","2020-04-29","VLA"
"","2020-04-29","VLA"
"","2020-04-29","VLA"
"","2020-04-29","VLA"
"","2020-04-29","VLA"
"","2020-04-29","VLA"
"","2020-04-29","VLA"
"","2020-04-29","VLA"
"","2020-04-29","BRU"
"","2020-04-29","VLA"
"","2020-04-29","BRU"
"","2020-04-29","VLA"
"","2020-04-29","VLA"
"","2020-04-29","VLA"
"","2020-04-29","VLA"
"","2020-04-29","VLA"
"","2020-05-01","VLA"
"","2020-05-02","VLA"
"","2020-05-04","VLA"
"","2020-05-04","VLA"
"","2020-05-04","VLA"
"","2020-05-04","VLA"
"","2020-05-04","VLA"
"","2020-05-04","VLA"
"","2020-05-04","VLA"
"","2020-05-04","VLA"
"","2020-05-04","VLA"
"","2020-05-04","VLA"
"","2020-05-04","VLA"
"","2020-05-04","VLA"
"","2020-05-04","VLA"
"","2020-05-04","VLA"
"","2020-05-04","VLA"
"","2020-05-04","VLA"
"","2020-05-04","VLA"
"","2020-05-04","VLA"
"","2020-05-05","VLA"
"","2020-05-05","VLA"
"","2020-05-05","VLA"
"","2020-05-06","VLA"
"","2020-05-06","VLA"
"","2020-05-06","VLA"
"","2020-05-06","VLA"
"","2020-05-06","VLA"
"","2020-05-06","VLA"
"","2020-05-06","VLA"
"","2020-05-06","VLA"
"","2020-05-06","VLA"
"","2020-05-06","VLA"
"","2020-05-06","VLA"
"","2020-05-06","VLA"
"","2020-05-06","VLA"
"","2020-05-07","VLA"
"","2020-05-08","VLA"
"","2020-05-08","VLA"
"","2020-05-08","VLA"
"","2020-05-08","VLA"
"","2020-05-09","VLA"
"","2020-05-11","VLA"
"","2020-05-11","VLA"
"","2020-05-11","VLA"
"","2020-05-11","VLA"
"","2020-05-11","VLA"
"","2020-05-11","VLA"
"","2020-05-11","VLA"
"","2020-05-11","VLA"
"","2020-05-11","VLA"
"","2020-05-11","VLA"
"","2020-05-12","VLA"
"","2020-05-12","VLA"
"","2020-05-12","VLA"
"","2020-05-13","VLA"
"","2020-05-13","VLA"
"","2020-05-13","VLA"
"","2020-05-13","VLA"
"","2020-05-13","VLA"
"","2020-05-13","VLA"
"","2020-05-13","VLA"
"","2020-05-13","VLA"
"","2020-05-14","VLA"
"","2020-05-18","VLA"
"","2020-05-18","VLA"
"","2020-05-18","VLA"
"","2020-05-18","VLA"
"","2020-05-18","VLA"
"","2020-05-18","VLA"
"","2020-05-18","VLA"
"","2020-05-19","VLA"
"","2020-05-20","VLA"
"","2020-05-20","VLA"
"","2020-05-20","VLA"
"","2020-05-20","VLA"
"","2020-05-20","VLA"
"","2020-05-20","VLA"
"","2020-05-20","VLA"
"","2020-05-20","VLA"
"","2020-05-20","VLA"
"","2020-05-22","VLA"
"","2020-05-22","VLA"
"","2020-05-22","VLA"
"","2020-05-25","VLA"
"","2020-05-25","VLA"
"","2020-05-25","VLA"
"","2020-05-25","VLA"
"","2020-05-25","VLA"
"","2020-05-25","VLA"
"","2020-05-26","BRU"
