"nr_num_patients","d_completed","cd_regio"
"100","2020-04-06","VLA"
"9","2020-04-06","VLA"
"20","2020-04-06","BRU"
"30","2020-04-06","VLA"
"73","2020-04-06","VLA"
"88","2020-04-06","VLA"
"50","2020-04-06","VLA"
"1100","2020-04-06","VLA"
"150","2020-04-06","VLA"
"25","2020-04-06","VLA"
"85","2020-04-06","VLA"
"18","2020-04-06","VLA"
"12","2020-04-06","VLA"
"25","2020-04-06","VLA"
"118","2020-04-06","VLA"
"170","2020-04-06","VLA"
"25","2020-04-06","VLA"
"28","2020-04-06","VLA"
"320","2020-04-06","VLA"
"30","2020-04-06","VLA"
"50","2020-04-06","VLA"
"70","2020-04-06","VLA"
"126","2020-04-06","VLA"
"40","2020-04-06","VLA"
"12","2020-04-06","BRU"
"25","2020-04-06","VLA"
"23","2020-04-06","VLA"
"11","2020-04-06","VLA"
"80","2020-04-06","VLA"
"21","2020-04-06","VLA"
"8","2020-04-06","VLA"
"35","2020-04-06","VLA"
"44","2020-04-06","VLA"
"25","2020-04-06","VLA"
"90","2020-04-06","BRU"
"36","2020-04-06","VLA"
"25","2020-04-06","VLA"
"20","2020-04-06","VLA"
"34","2020-04-06","VLA"
"19","2020-04-06","VLA"
"55","2020-04-06","VLA"
"14","2020-04-06","VLA"
"36","2020-04-06","VLA"
"19","2020-04-06","VLA"
"24","2020-04-06","VLA"
"36","2020-04-06","VLA"
"55","2020-04-06","VLA"
"28","2020-04-06","VLA"
"27","2020-04-06","VLA"
"60","2020-04-06","VLA"
"0","2020-04-06","VLA"
"35","2020-04-06","VLA"
"30","2020-04-06","VLA"
"24","2020-04-06","VLA"
"60","2020-04-06","VLA"
"20","2020-04-06","VLA"
"45","2020-04-06","VLA"
"28","2020-04-06","VLA"
"60","2020-04-06","VLA"
"14","2020-04-06","VLA"
"20","2020-04-06","VLA"
"40","2020-04-06","VLA"
"30","2020-04-06","VLA"
"23","2020-04-06","VLA"
"90","2020-04-06","VLA"
"60","2020-04-06","VLA"
"15","2020-04-06","VLA"
"70","2020-04-06","VLA"
"50","2020-04-06","VLA"
"25","2020-04-06","VLA"
"22","2020-04-06","VLA"
"55","2020-04-06","VLA"
"230","2020-04-06","VLA"
"81","2020-04-06","VLA"
"50","2020-04-06","VLA"
"10","2020-04-06","VLA"
"50","2020-04-06","VLA"
"23","2020-04-06","VLA"
"70","2020-04-06","VLA"
"0","2020-04-06","VLA"
"60","2020-04-06","VLA"
"21","2020-04-06","VLA"
"60","2020-04-06","VLA"
"30","2020-04-06","VLA"
"16","2020-04-06","VLA"
"48","2020-04-06","VLA"
"45","2020-04-06","VLA"
"24","2020-04-06","VLA"
"25","2020-04-06","VLA"
"25","2020-04-06","VLA"
"17","2020-04-06","VLA"
"88","2020-04-06","VLA"
"35","2020-04-06","VLA"
"50","2020-04-06","VLA"
"35","2020-04-06","VLA"
"21","2020-04-06","VLA"
"10","2020-04-06","VLA"
"53","2020-04-06","VLA"
"50","2020-04-06","VLA"
"12","2020-04-06","VLA"
"0","2020-04-06","VLA"
"26","2020-04-06","VLA"
"25","2020-04-06","VLA"
"35","2020-04-06","VLA"
"10","2020-04-06","VLA"
"50","2020-04-06","VLA"
"50","2020-04-06","VLA"
"320","2020-04-06","VLA"
"33","2020-04-06","VLA"
"10","2020-04-06","BRU"
"20","2020-04-06","VLA"
"40","2020-04-06","VLA"
"40","2020-04-06","VLA"
"40","2020-04-06","VLA"
"25","2020-04-06","VLA"
"36","2020-04-06","VLA"
"12","2020-04-06","VLA"
"35","2020-04-06","VLA"
"66","2020-04-06","VLA"
"4","2020-04-06","VLA"
"25","2020-04-06","VLA"
"14","2020-04-06","VLA"
"84","2020-04-06","VLA"
"220","2020-04-06","VLA"
"100","2020-04-06","VLA"
"16","2020-04-06","VLA"
"120","2020-04-06","VLA"
"23","2020-04-06","VLA"
"15","2020-04-06","WAL"
"100","2020-04-06","VLA"
"25","2020-04-06","VLA"
"40","2020-04-06","VLA"
"20","2020-04-06","VLA"
"0","2020-04-06","VLA"
"30","2020-04-06","BRU"
"24","2020-04-06","VLA"
"50","2020-04-06","VLA"
"28","2020-04-06","VLA"
"26","2020-04-06","VLA"
"30","2020-04-06","VLA"
"40","2020-04-06","VLA"
"90","2020-04-06","VLA"
"30","2020-04-06","VLA"
"15","2020-04-06","VLA"
"20","2020-04-06","BRU"
"40","2020-04-06","VLA"
"26","2020-04-06","VLA"
"41","2020-04-06","VLA"
"20","2020-04-06","VLA"
"34","2020-04-06","VLA"
"0","2020-04-06","VLA"
"40","2020-04-06","VLA"
"0","2020-04-06","VLA"
"70","2020-04-06","VLA"
"33","2020-04-06","VLA"
"35","2020-04-06","VLA"
"15","2020-04-06","VLA"
"40","2020-04-06","VLA"
"35","2020-04-06","VLA"
"20","2020-04-06","VLA"
"25","2020-04-06","VLA"
"21","2020-04-06","VLA"
"40","2020-04-06","VLA"
"70","2020-04-06","VLA"
"34","2020-04-06","VLA"
"40","2020-04-06","VLA"
"22","2020-04-06","VLA"
"19","2020-04-06","VLA"
"45","2020-04-06","VLA"
"55","2020-04-06","VLA"
"13","2020-04-06","VLA"
"120","2020-04-06","VLA"
"25","2020-04-06","VLA"
"18","2020-04-06","VLA"
"12","2020-04-06","VLA"
"21","2020-04-06","VLA"
"2","2020-04-06","VLA"
"43","2020-04-06","VLA"
"100","2020-04-06","VLA"
"30","2020-04-06","VLA"
"60","2020-04-06","VLA"
"35","2020-04-06","VLA"
"23","2020-04-06","VLA"
"47","2020-04-06","VLA"
"120","2020-04-06","VLA"
"100","2020-04-06","VLA"
"25","2020-04-06","VLA"
"9","2020-04-06","VLA"
"28","2020-04-06","VLA"
"35","2020-04-06","VLA"
"90","2020-04-06","VLA"
"18","2020-04-06","VLA"
"679","2020-04-06","VLA"
"65","2020-04-06","VLA"
"25","2020-04-06","VLA"
"60","2020-04-06","VLA"
"40","2020-04-06","VLA"
"65","2020-04-06","VLA"
"0","2020-04-06","VLA"
"8","2020-04-06","VLA"
"1","2020-04-06","VLA"
"15","2020-04-06","VLA"
"45","2020-04-06","VLA"
"60","2020-04-06","VLA"
"35","2020-04-06","VLA"
"50","2020-04-06","VLA"
"60","2020-04-06","VLA"
"30","2020-04-06","VLA"
"40","2020-04-06","VLA"
"35","2020-04-06","VLA"
"21","2020-04-06","VLA"
"45","2020-04-06","VLA"
"140","2020-04-06","VLA"
"10","2020-04-06","VLA"
"60","2020-04-06","VLA"
"26","2020-04-06","VLA"
"19","2020-04-06","VLA"
"18","2020-04-06","VLA"
"80","2020-04-07","VLA"
"46","2020-04-07","VLA"
"45","2020-04-07","VLA"
"21","2020-04-07","VLA"
"10000","2020-04-07","VLA"
"15","2020-04-07","BRU"
"24","2020-04-07","VLA"
"10000","2020-04-07","VLA"
"60","2020-04-07","VLA"
"20","2020-04-07","BRU"
"2","2020-04-07","VLA"
"45","2020-04-07","VLA"
"176","2020-04-07","VLA"
"15","2020-04-07","VLA"
"10","2020-04-07","VLA"
"164","2020-04-07","VLA"
"21","2020-04-07","VLA"
"15","2020-04-07","VLA"
"15","2020-04-07","VLA"
"50","2020-04-07","VLA"
"020","2020-04-07","BRU"
"27","2020-04-07","VLA"
"130","2020-04-07","VLA"
"30","2020-04-07","VLA"
"60","2020-04-07","VLA"
"18","2020-04-07","BRU"
"14","2020-04-07","BRU"
"600","2020-04-07","VLA"
"40","2020-04-07","VLA"
"17","2020-04-07","VLA"
"12","2020-04-07","VLA"
"0","2020-04-07","VLA"
"15","2020-04-07","VLA"
"20","2020-04-07","VLA"
"2","2020-04-07","VLA"
"10","2020-04-07","VLA"
"25","2020-04-07","VLA"
"50","2020-04-07","VLA"
"30","2020-04-07","VLA"
"15","2020-04-07","VLA"
"50","2020-04-07","VLA"
"40","2020-04-07","BRU"
"25","2020-04-07","VLA"
"26","2020-04-07","VLA"
"22","2020-04-07","VLA"
"295","2020-04-07","VLA"
"18","2020-04-07","VLA"
"25","2020-04-07","VLA"
"110","2020-04-07","VLA"
"100","2020-04-07","VLA"
"30","2020-04-07","BRU"
"9","2020-04-07","VLA"
"70","2020-04-07","VLA"
"85","2020-04-08","VLA"
"20","2020-04-08","VLA"
"32","2020-04-08","VLA"
"25","2020-04-08","VLA"
"15","2020-04-08","VLA"
"10000","2020-04-08","VLA"
"60","2020-04-08","VLA"
"80","2020-04-08","VLA"
"56","2020-04-08","VLA"
"18","2020-04-08","VLA"
"10","2020-04-08","VLA"
"35","2020-04-08","VLA"
"15","2020-04-08","VLA"
"27","2020-04-08","VLA"
"70","2020-04-08","VLA"
"45","2020-04-08","VLA"
"6","2020-04-08","VLA"
"80","2020-04-08","VLA"
"24","2020-04-08","VLA"
"35","2020-04-08","VLA"
"40","2020-04-08","VLA"
"252","2020-04-08","VLA"
"30","2020-04-08","VLA"
"30","2020-04-08","VLA"
"5","2020-04-08","BRU"
"70","2020-04-08","VLA"
"25","2020-04-08","VLA"
"35","2020-04-08","VLA"
"70","2020-04-08","VLA"
"70","2020-04-08","VLA"
"20","2020-04-08","VLA"
"50","2020-04-08","VLA"
"16","2020-04-08","VLA"
"25","2020-04-08","VLA"
"50","2020-04-08","VLA"
"240","2020-04-08","VLA"
"15","2020-04-08","VLA"
"30","2020-04-08","VLA"
"70","2020-04-08","VLA"
"77","2020-04-08","VLA"
"290","2020-04-08","VLA"
"3","2020-04-08","VLA"
"60","2020-04-08","VLA"
"25","2020-04-08","VLA"
"14","2020-04-08","VLA"
"80","2020-04-08","VLA"
"16","2020-04-08","VLA"
"25","2020-04-08","VLA"
"22","2020-04-08","VLA"
"4","2020-04-08","VLA"
"95","2020-04-08","VLA"
"80","2020-04-08","VLA"
"50","2020-04-08","VLA"
"31","2020-04-08","VLA"
"20","2020-04-08","VLA"
"0","2020-04-08","VLA"
"25","2020-04-08","VLA"
"76","2020-04-08","VLA"
"25","2020-04-08","VLA"
"60","2020-04-08","VLA"
"50","2020-04-08","VLA"
"120","2020-04-08","VLA"
"1","2020-04-08","VLA"
"40","2020-04-08","VLA"
"75","2020-04-08","VLA"
"30","2020-04-08","WAL"
"30","2020-04-08","VLA"
"13","2020-04-08","VLA"
"60","2020-04-08","VLA"
"45","2020-04-08","VLA"
"75","2020-04-08","VLA"
"20","2020-04-08","VLA"
"45","2020-04-08","VLA"
"20","2020-04-08","VLA"
"81","2020-04-08","VLA"
"80","2020-04-08","VLA"
"39","2020-04-08","VLA"
"20","2020-04-08","BRU"
"22","2020-04-08","VLA"
"22","2020-04-08","VLA"
"26","2020-04-08","VLA"
"5","2020-04-08","VLA"
"180","2020-04-08","VLA"
"37","2020-04-08","VLA"
"45","2020-04-08","VLA"
"20","2020-04-08","VLA"
"60","2020-04-08","VLA"
"1","2020-04-08","VLA"
"20","2020-04-08","VLA"
"130","2020-04-08","VLA"
"32","2020-04-08","VLA"
"16","2020-04-08","VLA"
"1","2020-04-08","VLA"
"25","2020-04-08","VLA"
"23","2020-04-08","VLA"
"120","2020-04-08","VLA"
"48","2020-04-08","VLA"
"150","2020-04-08","VLA"
"30","2020-04-09","VLA"
"48","2020-04-09","VLA"
"50","2020-04-09","VLA"
"20","2020-04-09","VLA"
"27","2020-04-09","WAL"
"30","2020-04-09","VLA"
"75","2020-04-09","VLA"
"21","2020-04-09","VLA"
"15","2020-04-09","WAL"
"15","2020-04-09","WAL"
"13","2020-04-09","VLA"
"40","2020-04-09","VLA"
"22","2020-04-09","WAL"
"7","2020-04-09","VLA"
"60","2020-04-09","VLA"
"25","2020-04-09","WAL"
"35","2020-04-09","VLA"
"18","2020-04-09","VLA"
"12","2020-04-09","VLA"
"28","2020-04-09","VLA"
"25","2020-04-09","VLA"
"0","2020-04-09","VLA"
"25","2020-04-09","VLA"
"25","2020-04-09","VLA"
"34","2020-04-09","VLA"
"16","2020-04-09","VLA"
"0","2020-04-09","WAL"
"1","2020-04-09","VLA"
"110","2020-04-10","VLA"
"32","2020-04-10","VLA"
"70","2020-04-10","VLA"
"100","2020-04-10","VLA"
"125","2020-04-10","VLA"
"200","2020-04-10","VLA"
"22","2020-04-10","VLA"
"10.000","2020-04-10","VLA"
"512","2020-04-10","VLA"
"20","2020-04-10","VLA"
"15","2020-04-10","WAL"
"32","2020-04-10","VLA"
"7","2020-04-10","VLA"
"75","2020-04-10","VLA"
"100","2020-04-10","VLA"
"5","2020-04-13","VLA"
"35","2020-04-13","VLA"
"26","2020-04-13","VLA"
"26","2020-04-13","VLA"
"0","2020-04-13","VLA"
"82","2020-04-13","VLA"
"80","2020-04-13","VLA"
"40","2020-04-13","VLA"
"230","2020-04-13","VLA"
"130","2020-04-13","VLA"
"10000","2020-04-13","VLA"
"99","2020-04-13","WAL"
"140","2020-04-14","VLA"
"55","2020-04-14","VLA"
"19","2020-04-14","VLA"
"25","2020-04-14","VLA"
"100","2020-04-14","VLA"
"86","2020-04-14","VLA"
"25","2020-04-15","VLA"
"51","2020-04-15","VLA"
"70","2020-04-15","VLA"
"3","2020-04-15","VLA"
"60","2020-04-15","VLA"
"22","2020-04-15","VLA"
"300","2020-04-15","VLA"
"82","2020-04-15","VLA"
"100","2020-04-15","VLA"
"30","2020-04-15","VLA"
"2","2020-04-15","VLA"
"17","2020-04-15","VLA"
"17","2020-04-15","VLA"
"22","2020-04-15","VLA"
"35","2020-04-15","VLA"
"85","2020-04-15","VLA"
"6","2020-04-15","VLA"
"45","2020-04-15","WAL"
"100","2020-04-15","VLA"
"26","2020-04-15","VLA"
"150","2020-04-15","VLA"
"38","2020-04-15","VLA"
"9.000","2020-04-15","VLA"
"25","2020-04-15","VLA"
"100","2020-04-15","VLA"
"106","2020-04-15","WAL"
"87","2020-04-15","VLA"
"60","2020-04-15","VLA"
"3755","2020-04-15","VLA"
"50","2020-04-15","VLA"
"3","2020-04-15","VLA"
"80","2020-04-15","VLA"
"10000","2020-04-15","VLA"
"24","2020-04-15","VLA"
"35","2020-04-16","VLA"
"65","2020-04-16","VLA"
"12","2020-04-16","VLA"
"19","2020-04-16","VLA"
"18","2020-04-16","VLA"
"20","2020-04-16","VLA"
"35","2020-04-16","VLA"
"58","2020-04-16","VLA"
"40","2020-04-17","WAL"
"26","2020-04-17","VLA"
"75","2020-04-17","VLA"
"94","2020-04-17","VLA"
"50","2020-04-17","VLA"
"30","2020-04-18","VLA"
"30","2020-04-18","VLA"
"26","2020-04-18","VLA"
"0","2020-04-19","VLA"
"20","2020-04-20","VLA"
"85","2020-04-20","VLA"
"85","2020-04-20","VLA"
"126","2020-04-20","WAL"
"10","2020-04-20","VLA"
"53","2020-04-20","VLA"
"25","2020-04-20","VLA"
"35","2020-04-20","VLA"
"90","2020-04-20","VLA"
"10000","2020-04-20","VLA"
"30","2020-04-20","VLA"
"88","2020-04-20","VLA"
"43","2020-04-20","VLA"
"20","2020-04-20","VLA"
"15","2020-04-20","VLA"
"50","2020-04-20","VLA"
"20","2020-04-20","VLA"
"30","2020-04-20","VLA"
"60","2020-04-20","VLA"
"20","2020-04-20","VLA"
"3","2020-04-20","VLA"
"23","2020-04-20","VLA"
"45","2020-04-20","VLA"
"35","2020-04-20","VLA"
"19","2020-04-20","VLA"
"20","2020-04-20","VLA"
