"cd_scale_feel_physically","d_completed","cd_regio"
"5","2020-04-29","VLA"
"5","2020-04-29","BRU"
"6","2020-04-29","VLA"
"7","2020-04-29","VLA"
"8","2020-04-29","VLA"
"8","2020-04-29","VLA"
"8","2020-04-29","VLA"
"8","2020-04-29","VLA"
"7","2020-04-29","VLA"
"7","2020-05-01","VLA"
"8","2020-05-02","VLA"
"8","2020-05-04","VLA"
"8","2020-05-04","VLA"
"6","2020-05-04","VLA"
"5","2020-05-04","VLA"
"7","2020-05-04","VLA"
"7","2020-05-04","VLA"
"9","2020-05-04","VLA"
"8","2020-05-04","VLA"
"6","2020-05-04","VLA"
"7","2020-05-04","VLA"
"8","2020-05-04","VLA"
"9","2020-05-04","VLA"
"8","2020-05-04","VLA"
"8","2020-05-04","VLA"
"8","2020-05-04","VLA"
"8","2020-05-04","VLA"
"7","2020-05-04","VLA"
"8","2020-05-04","VLA"
"8","2020-05-05","VLA"
"7","2020-05-05","VLA"
"8","2020-05-05","VLA"
"9","2020-05-06","VLA"
"8","2020-05-06","VLA"
"8","2020-05-06","VLA"
"7","2020-05-06","VLA"
"7","2020-05-06","VLA"
"7","2020-05-06","VLA"
"8","2020-05-06","VLA"
"7","2020-05-06","VLA"
"5","2020-05-06","VLA"
"5","2020-05-06","VLA"
"8","2020-05-06","VLA"
"7","2020-05-06","VLA"
"10","2020-05-06","VLA"
"8","2020-05-07","VLA"
"8","2020-05-08","VLA"
"9","2020-05-08","VLA"
"7","2020-05-08","VLA"
"8","2020-05-08","VLA"
"8","2020-05-09","VLA"
"4","2020-05-11","VLA"
"9","2020-05-11","VLA"
"9","2020-05-11","VLA"
"8","2020-05-11","VLA"
"7","2020-05-11","VLA"
"8","2020-05-11","VLA"
"8","2020-05-11","VLA"
"8","2020-05-11","VLA"
"8","2020-05-11","VLA"
"8","2020-05-11","VLA"
"8","2020-05-12","VLA"
"6","2020-05-12","VLA"
"6","2020-05-12","VLA"
"8","2020-05-13","VLA"
"8","2020-05-13","VLA"
"9","2020-05-13","VLA"
"8","2020-05-13","VLA"
"5","2020-05-13","VLA"
"5","2020-05-13","VLA"
"8","2020-05-13","VLA"
"7","2020-05-13","VLA"
"6","2020-05-14","VLA"
"6","2020-05-18","VLA"
"7","2020-05-18","VLA"
"8","2020-05-18","VLA"
"7","2020-05-18","VLA"
"7","2020-05-18","VLA"
"9","2020-05-18","VLA"
"8","2020-05-18","VLA"
"8","2020-05-19","VLA"
"7","2020-05-20","VLA"
"7","2020-05-20","VLA"
"7","2020-05-20","VLA"
"8","2020-05-20","VLA"
"8","2020-05-20","VLA"
"8","2020-05-20","VLA"
"8","2020-05-20","VLA"
"8","2020-05-20","VLA"
"8","2020-05-20","VLA"
"7","2020-05-22","VLA"
"8","2020-05-22","VLA"
"8","2020-05-22","VLA"
"7","2020-05-25","VLA"
"8","2020-05-25","VLA"
"8","2020-05-25","VLA"
"5","2020-05-25","VLA"
"6","2020-05-25","VLA"
"8","2020-05-25","VLA"
"8","2020-05-26","BRU"
