"cd_alc_hand_disinfectant","d_completed","cd_regio"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"4","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"4","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","BRU"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"1","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"1","2020-04-06","VLA"
"1","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"1","2020-04-06","VLA"
"1","2020-04-06","VLA"
"1","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"1","2020-04-06","VLA"
"4","2020-04-06","VLA"
"1","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"1","2020-04-06","BRU"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"1","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","BRU"
"4","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"1","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"1","2020-04-06","VLA"
"3","2020-04-06","VLA"
"1","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"1","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"1","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"1","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"1","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"1","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"1","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"1","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"1","2020-04-06","VLA"
"1","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","WAL"
"3","2020-04-06","VLA"
"1","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"1","2020-04-06","WAL"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"1","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"1","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"1","2020-04-06","VLA"
"3","2020-04-06","VLA"
"1","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"4","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"1","2020-04-06","VLA"
"2","2020-04-06","VLA"
"1","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","BRU"
"1","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","BRU"
"1","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"1","2020-04-06","VLA"
"4","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","BRU"
"3","2020-04-06","VLA"
"1","2020-04-06","VLA"
"3","2020-04-06","BRU"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"1","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"1","2020-04-06","BRU"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","BRU"
"4","2020-04-06","VLA"
"1","2020-04-06","VLA"
"3","2020-04-06","VLA"
"1","2020-04-06","VLA"
"1","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-07","VLA"
"1","2020-04-07","VLA"
"3","2020-04-07","VLA"
"2","2020-04-07","VLA"
"1","2020-04-07","VLA"
"3","2020-04-07","VLA"
"2","2020-04-07","BRU"
"3","2020-04-07","VLA"
"1","2020-04-07","VLA"
"1","2020-04-07","BRU"
"3","2020-04-07","VLA"
"3","2020-04-07","VLA"
"3","2020-04-07","VLA"
"2","2020-04-07","VLA"
"2","2020-04-07","VLA"
"3","2020-04-07","VLA"
"3","2020-04-07","VLA"
"2","2020-04-07","VLA"
"3","2020-04-07","VLA"
"3","2020-04-07","BRU"
"3","2020-04-07","VLA"
"2","2020-04-07","VLA"
"3","2020-04-07","VLA"
"3","2020-04-07","VLA"
"3","2020-04-07","VLA"
"1","2020-04-07","VLA"
"3","2020-04-07","VLA"
"1","2020-04-07","BRU"
"3","2020-04-07","VLA"
"2","2020-04-07","VLA"
"2","2020-04-07","VLA"
"3","2020-04-07","VLA"
"3","2020-04-07","VLA"
"3","2020-04-07","VLA"
"1","2020-04-07","BRU"
"3","2020-04-07","BRU"
"3","2020-04-07","VLA"
"3","2020-04-07","VLA"
"3","2020-04-07","VLA"
"1","2020-04-07","VLA"
"3","2020-04-07","VLA"
"3","2020-04-07","VLA"
"2","2020-04-07","VLA"
"2","2020-04-07","BRU"
"3","2020-04-07","VLA"
"4","2020-04-07","VLA"
"3","2020-04-07","VLA"
"2","2020-04-07","VLA"
"3","2020-04-07","VLA"
"3","2020-04-07","VLA"
"1","2020-04-07","VLA"
"1","2020-04-07","VLA"
"2","2020-04-07","VLA"
"2","2020-04-08","VLA"
"2","2020-04-08","VLA"
"2","2020-04-08","VLA"
"3","2020-04-08","BRU"
"3","2020-04-08","VLA"
"3","2020-04-08","VLA"
"3","2020-04-08","VLA"
"3","2020-04-08","VLA"
"3","2020-04-08","VLA"
"2","2020-04-08","VLA"
"2","2020-04-08","VLA"
"1","2020-04-08","VLA"
"3","2020-04-08","VLA"
"3","2020-04-08","VLA"
"3","2020-04-08","VLA"
"2","2020-04-08","VLA"
"2","2020-04-08","VLA"
"3","2020-04-08","VLA"
"4","2020-04-08","VLA"
"3","2020-04-08","VLA"
"3","2020-04-08","VLA"
"2","2020-04-08","VLA"
"3","2020-04-08","VLA"
"2","2020-04-08","VLA"
"3","2020-04-08","VLA"
"3","2020-04-08","VLA"
"2","2020-04-08","VLA"
"3","2020-04-08","VLA"
"3","2020-04-08","VLA"
"3","2020-04-08","VLA"
"2","2020-04-08","VLA"
"2","2020-04-08","VLA"
"3","2020-04-08","VLA"
"3","2020-04-08","VLA"
"3","2020-04-08","VLA"
"3","2020-04-08","VLA"
"3","2020-04-08","VLA"
"3","2020-04-08","VLA"
"2","2020-04-08","WAL"
"3","2020-04-08","VLA"
"3","2020-04-08","VLA"
"3","2020-04-08","VLA"
"3","2020-04-08","VLA"
"2","2020-04-08","VLA"
"3","2020-04-08","VLA"
"2","2020-04-08","VLA"
"3","2020-04-08","VLA"
"3","2020-04-08","VLA"
"3","2020-04-08","VLA"
"3","2020-04-08","VLA"
"3","2020-04-08","VLA"
"3","2020-04-08","VLA"
"3","2020-04-08","VLA"
"3","2020-04-08","VLA"
"4","2020-04-08","VLA"
"3","2020-04-08","VLA"
"3","2020-04-08","VLA"
"2","2020-04-08","VLA"
"3","2020-04-08","VLA"
"3","2020-04-08","VLA"
"3","2020-04-08","VLA"
"3","2020-04-08","VLA"
"3","2020-04-08","VLA"
"1","2020-04-08","VLA"
"1","2020-04-08","VLA"
"3","2020-04-08","VLA"
"2","2020-04-08","VLA"
"3","2020-04-08","VLA"
"2","2020-04-08","VLA"
"3","2020-04-08","VLA"
"1","2020-04-08","VLA"
"3","2020-04-08","VLA"
"3","2020-04-08","VLA"
"3","2020-04-08","VLA"
"3","2020-04-08","VLA"
"4","2020-04-08","VLA"
"2","2020-04-08","BRU"
"3","2020-04-08","VLA"
"2","2020-04-08","VLA"
"2","2020-04-08","VLA"
"3","2020-04-08","VLA"
"2","2020-04-08","VLA"
"3","2020-04-08","VLA"
"2","2020-04-08","VLA"
"3","2020-04-08","VLA"
"3","2020-04-08","VLA"
"2","2020-04-08","VLA"
"2","2020-04-08","VLA"
"3","2020-04-08","VLA"
"4","2020-04-08","VLA"
"2","2020-04-08","VLA"
"1","2020-04-08","VLA"
"4","2020-04-08","VLA"
"2","2020-04-08","VLA"
"3","2020-04-08","VLA"
"3","2020-04-08","VLA"
"3","2020-04-08","VLA"
"2","2020-04-08","VLA"
"3","2020-04-09","VLA"
"3","2020-04-09","VLA"
"3","2020-04-09","VLA"
"1","2020-04-09","WAL"
"2","2020-04-09","VLA"
"3","2020-04-09","VLA"
"3","2020-04-09","VLA"
"3","2020-04-09","VLA"
"1","2020-04-09","WAL"
"4","2020-04-09","VLA"
"3","2020-04-09","VLA"
"2","2020-04-09","VLA"
"1","2020-04-09","VLA"
"3","2020-04-09","VLA"
"2","2020-04-09","WAL"
"3","2020-04-09","VLA"
"3","2020-04-09","VLA"
"2","2020-04-09","VLA"
"3","2020-04-09","VLA"
"2","2020-04-09","VLA"
"1","2020-04-09","WAL"
"3","2020-04-09","VLA"
"2","2020-04-09","VLA"
"3","2020-04-09","WAL"
"3","2020-04-09","WAL"
"3","2020-04-09","VLA"
"3","2020-04-09","VLA"
"1","2020-04-09","VLA"
"3","2020-04-10","VLA"
"2","2020-04-10","VLA"
"2","2020-04-10","VLA"
"2","2020-04-10","VLA"
"3","2020-04-10","VLA"
"4","2020-04-10","VLA"
"3","2020-04-10","VLA"
"3","2020-04-10","VLA"
"2","2020-04-10","VLA"
"1","2020-04-10","VLA"
"4","2020-04-10","VLA"
"2","2020-04-10","VLA"
"3","2020-04-10","WAL"
"3","2020-04-10","VLA"
"3","2020-04-10","VLA"
"3","2020-04-13","VLA"
"2","2020-04-13","VLA"
"3","2020-04-13","VLA"
"3","2020-04-13","VLA"
"3","2020-04-13","VLA"
"3","2020-04-13","VLA"
"3","2020-04-13","WAL"
"3","2020-04-13","VLA"
"2","2020-04-13","VLA"
"1","2020-04-13","VLA"
"3","2020-04-13","VLA"
"3","2020-04-13","VLA"
"3","2020-04-14","VLA"
"1","2020-04-14","VLA"
"3","2020-04-14","VLA"
"3","2020-04-14","VLA"
"1","2020-04-14","VLA"
"3","2020-04-14","VLA"
"3","2020-04-15","VLA"
"2","2020-04-15","VLA"
"2","2020-04-15","VLA"
"3","2020-04-15","VLA"
"2","2020-04-15","VLA"
"2","2020-04-15","VLA"
"2","2020-04-15","VLA"
"3","2020-04-15","VLA"
"3","2020-04-15","VLA"
"2","2020-04-15","VLA"
"2","2020-04-15","VLA"
"3","2020-04-15","WAL"
"2","2020-04-15","VLA"
"3","2020-04-15","VLA"
"2","2020-04-15","VLA"
"3","2020-04-15","VLA"
"4","2020-04-15","VLA"
"2","2020-04-15","VLA"
"2","2020-04-15","VLA"
"2","2020-04-15","VLA"
"3","2020-04-15","WAL"
"3","2020-04-15","VLA"
"3","2020-04-15","VLA"
"3","2020-04-15","VLA"
"3","2020-04-15","VLA"
"2","2020-04-15","VLA"
"3","2020-04-15","VLA"
"4","2020-04-15","VLA"
"2","2020-04-15","VLA"
"3","2020-04-15","VLA"
"2","2020-04-15","VLA"
"2","2020-04-15","VLA"
"3","2020-04-15","VLA"
"3","2020-04-15","VLA"
"3","2020-04-16","VLA"
"2","2020-04-16","VLA"
"4","2020-04-16","VLA"
"3","2020-04-16","VLA"
"4","2020-04-16","VLA"
"3","2020-04-16","VLA"
"2","2020-04-16","VLA"
"3","2020-04-16","VLA"
"3","2020-04-17","VLA"
"3","2020-04-17","VLA"
"2","2020-04-17","WAL"
"2","2020-04-17","VLA"
"2","2020-04-17","VLA"
"3","2020-04-18","VLA"
"3","2020-04-18","VLA"
"3","2020-04-18","VLA"
"3","2020-04-19","VLA"
"3","2020-04-20","VLA"
"2","2020-04-20","VLA"
"3","2020-04-20","VLA"
"3","2020-04-20","VLA"
"3","2020-04-20","VLA"
"3","2020-04-20","VLA"
"2","2020-04-20","VLA"
"3","2020-04-20","VLA"
"3","2020-04-20","VLA"
"2","2020-04-20","VLA"
"3","2020-04-20","VLA"
"3","2020-04-20","VLA"
"3","2020-04-20","VLA"
"3","2020-04-20","VLA"
"3","2020-04-20","VLA"
"4","2020-04-20","VLA"
"2","2020-04-20","VLA"
"3","2020-04-20","VLA"
"3","2020-04-20","VLA"
"3","2020-04-20","VLA"
"2","2020-04-20","VLA"
"3","2020-04-20","VLA"
"3","2020-04-20","VLA"
"3","2020-04-20","VLA"
"2","2020-04-20","VLA"
"3","2020-04-20","WAL"
