"cd_infection_screen","d_completed","cd_regio"
"2","2020-03-31","VLA"
"1","2020-03-31","VLA"
"3","2020-03-31","VLA"
"3","2020-03-31","VLA"
"2","2020-03-31","VLA"
"2","2020-03-31","VLA"
"2","2020-03-31","VLA"
"3","2020-03-31","VLA"
"1","2020-03-31","VLA"
"3","2020-03-31","VLA"
"1","2020-03-31","VLA"
"3","2020-03-31","VLA"
"3","2020-03-31","VLA"
"1","2020-03-31","VLA"
"3","2020-03-31","VLA"
"3","2020-03-31","VLA"
"1","2020-03-31","VLA"
"3","2020-03-31","VLA"
"3","2020-03-31","VLA"
"2","2020-03-31","VLA"
"2","2020-03-31","VLA"
"1","2020-03-31","VLA"
"3","2020-03-31","VLA"
"2","2020-03-31","VLA"
"3","2020-03-31","VLA"
"2","2020-03-31","VLA"
"3","2020-03-31","VLA"
"4","2020-03-31","VLA"
"3","2020-03-31","VLA"
"1","2020-03-31","VLA"
"3","2020-03-31","VLA"
"1","2020-03-31","VLA"
"3","2020-03-31","VLA"
"3","2020-03-31","VLA"
"3","2020-03-31","VLA"
"3","2020-03-31","VLA"
"1","2020-03-31","VLA"
"3","2020-04-01","VLA"
"4","2020-04-01","VLA"
"3","2020-04-01","VLA"
"2","2020-04-01","VLA"
"3","2020-04-01","VLA"
"3","2020-04-01","VLA"
"3","2020-04-01","VLA"
"3","2020-04-01","VLA"
"4","2020-04-01","VLA"
"3","2020-04-01","VLA"
"3","2020-04-01","VLA"
"1","2020-04-01","VLA"
"3","2020-04-01","VLA"
"3","2020-04-01","VLA"
"3","2020-04-01","VLA"
"2","2020-04-01","VLA"
"2","2020-04-01","VLA"
"3","2020-04-01","VLA"
"3","2020-04-01","VLA"
"3","2020-04-01","VLA"
"3","2020-04-01","VLA"
"3","2020-04-01","VLA"
"2","2020-04-01","VLA"
"3","2020-04-01","VLA"
"3","2020-04-01","VLA"
"4","2020-04-01","VLA"
"1","2020-04-01","VLA"
"2","2020-04-01","VLA"
"4","2020-04-01","VLA"
"2","2020-04-01","VLA"
"2","2020-04-01","VLA"
"3","2020-04-01","VLA"
"2","2020-04-01","VLA"
"4","2020-04-01","VLA"
"3","2020-04-01","VLA"
"3","2020-04-01","VLA"
"2","2020-04-01","VLA"
"3","2020-04-01","VLA"
"3","2020-04-01","VLA"
"3","2020-04-01","VLA"
"3","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"3","2020-04-01","VLA"
"3","2020-04-01","VLA"
"2","2020-04-01","VLA"
"3","2020-04-01","VLA"
"2","2020-04-01","VLA"
"3","2020-04-01","VLA"
"3","2020-04-01","VLA"
"1","2020-04-01","VLA"
"4","2020-04-01","VLA"
"4","2020-04-01","VLA"
"3","2020-04-01","VLA"
"1","2020-04-01","VLA"
"3","2020-04-01","VLA"
"3","2020-04-01","VLA"
"2","2020-04-02","VLA"
"3","2020-04-02","VLA"
"3","2020-04-02","VLA"
"3","2020-04-02","VLA"
"3","2020-04-02","VLA"
"1","2020-04-02","VLA"
"3","2020-04-02","VLA"
"4","2020-04-02","VLA"
"3","2020-04-02","VLA"
"3","2020-04-02","VLA"
"4","2020-04-02","VLA"
"3","2020-04-02","VLA"
"3","2020-04-02","VLA"
"3","2020-04-02","VLA"
"3","2020-04-02","VLA"
"3","2020-04-02","VLA"
"3","2020-04-02","VLA"
"3","2020-04-02","VLA"
"3","2020-04-02","VLA"
"3","2020-04-02","VLA"
"3","2020-04-02","VLA"
"4","2020-04-02","VLA"
"3","2020-04-02","VLA"
"3","2020-04-02","VLA"
"3","2020-04-02","VLA"
"3","2020-04-02","VLA"
"3","2020-04-02","VLA"
"1","2020-04-02","VLA"
"3","2020-04-02","VLA"
"1","2020-04-02","VLA"
"3","2020-04-02","VLA"
"3","2020-04-02","VLA"
"2","2020-04-02","WAL"
"3","2020-04-02","VLA"
"3","2020-04-02","VLA"
"3","2020-04-02","VLA"
"3","2020-04-02","VLA"
"3","2020-04-03","VLA"
"3","2020-04-03","VLA"
"1","2020-04-03","VLA"
"2","2020-04-03","VLA"
"2","2020-04-03","VLA"
"3","2020-04-03","VLA"
"3","2020-04-03","VLA"
"2","2020-04-03","VLA"
"3","2020-04-03","VLA"
"3","2020-04-03","VLA"
"3","2020-04-03","VLA"
"3","2020-04-03","VLA"
"3","2020-04-03","VLA"
"4","2020-04-03","VLA"
"1","2020-04-03","VLA"
"3","2020-04-03","VLA"
"3","2020-04-03","VLA"
"3","2020-04-03","VLA"
"3","2020-04-03","VLA"
"3","2020-04-03","VLA"
"3","2020-04-03","VLA"
"3","2020-04-03","VLA"
"3","2020-04-03","VLA"
"3","2020-04-03","WAL"
"3","2020-04-03","VLA"
"3","2020-04-03","VLA"
"3","2020-04-03","VLA"
"3","2020-04-03","VLA"
"3","2020-04-03","VLA"
"3","2020-04-03","VLA"
"3","2020-04-03","VLA"
"4","2020-04-03","VLA"
"3","2020-04-03","VLA"
"3","2020-04-03","VLA"
"3","2020-04-03","VLA"
"3","2020-04-03","VLA"
"3","2020-04-03","VLA"
"3","2020-04-03","VLA"
"4","2020-04-03","VLA"
"2","2020-04-03","VLA"
"1","2020-04-03","VLA"
"4","2020-04-03","VLA"
"4","2020-04-04","VLA"
"3","2020-04-04","VLA"
"2","2020-04-04","VLA"
"3","2020-04-04","VLA"
"3","2020-04-04","VLA"
"3","2020-04-04","VLA"
"3","2020-04-04","VLA"
"3","2020-04-04","VLA"
"3","2020-04-04","VLA"
"3","2020-04-04","VLA"
"3","2020-04-04","VLA"
"3","2020-04-04","VLA"
"3","2020-04-04","VLA"
"2","2020-04-04","VLA"
"4","2020-04-04","VLA"
"1","2020-04-04","VLA"
"4","2020-04-04","VLA"
"2","2020-04-04","VLA"
"3","2020-04-04","VLA"
"3","2020-04-04","VLA"
"3","2020-04-04","VLA"
"3","2020-04-05","VLA"
"3","2020-04-05","WAL"
"1","2020-04-05","VLA"
"3","2020-04-05","VLA"
"4","2020-04-05","VLA"
"3","2020-04-05","VLA"
"1","2020-04-05","VLA"
"3","2020-04-05","VLA"
"4","2020-04-05","VLA"
"3","2020-04-05","VLA"
"4","2020-04-05","VLA"
"1","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"4","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","WAL"
"3","2020-04-06","VLA"
"1","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-07","VLA"
"3","2020-04-07","VLA"
"4","2020-04-07","VLA"
"3","2020-04-07","VLA"
"3","2020-04-07","WAL"
"1","2020-04-07","VLA"
"3","2020-04-07","VLA"
"3","2020-04-07","VLA"
"3","2020-04-07","VLA"
"3","2020-04-07","VLA"
"3","2020-04-07","VLA"
"3","2020-04-07","VLA"
"4","2020-04-07","VLA"
"3","2020-04-07","VLA"
"4","2020-04-07","VLA"
"3","2020-04-07","VLA"
"3","2020-04-07","VLA"
"1","2020-04-07","VLA"
"4","2020-04-07","VLA"
"3","2020-04-07","VLA"
"4","2020-04-07","VLA"
"3","2020-04-08","VLA"
"4","2020-04-08","VLA"
"3","2020-04-08","VLA"
"3","2020-04-08","VLA"
"1","2020-04-08","VLA"
"3","2020-04-08","VLA"
"3","2020-04-08","VLA"
"4","2020-04-08","VLA"
"3","2020-04-08","VLA"
"2","2020-04-08","VLA"
"3","2020-04-08","VLA"
"3","2020-04-08","VLA"
"3","2020-04-08","VLA"
"1","2020-04-08","VLA"
"3","2020-04-08","VLA"
"3","2020-04-08","VLA"
"3","2020-04-08","VLA"
"2","2020-04-09","VLA"
"3","2020-04-09","VLA"
"3","2020-04-09","VLA"
"3","2020-04-09","VLA"
"3","2020-04-09","VLA"
"3","2020-04-09","VLA"
"2","2020-04-09","VLA"
"3","2020-04-09","VLA"
"3","2020-04-09","VLA"
"3","2020-04-09","VLA"
"3","2020-04-09","VLA"
"3","2020-04-09","VLA"
"3","2020-04-09","VLA"
"3","2020-04-09","VLA"
"3","2020-04-09","WAL"
"3","2020-04-09","VLA"
"3","2020-04-09","VLA"
"3","2020-04-09","VLA"
"2","2020-04-09","VLA"
"4","2020-04-09","VLA"
"3","2020-04-09","VLA"
"3","2020-04-09","VLA"
"3","2020-04-09","VLA"
"3","2020-04-09","VLA"
"4","2020-04-09","VLA"
"3","2020-04-09","VLA"
"4","2020-04-09","VLA"
"3","2020-04-09","VLA"
"3","2020-04-09","VLA"
"3","2020-04-09","VLA"
"3","2020-04-09","VLA"
"4","2020-04-09","VLA"
"4","2020-04-09","VLA"
"3","2020-04-09","VLA"
"1","2020-04-09","VLA"
"1","2020-04-09","VLA"
"2","2020-04-09","VLA"
"3","2020-04-09","VLA"
"3","2020-04-09","VLA"
"3","2020-04-09","VLA"
"3","2020-04-09","VLA"
"3","2020-04-10","VLA"
"3","2020-04-10","VLA"
"3","2020-04-10","VLA"
"3","2020-04-10","VLA"
"3","2020-04-10","VLA"
"3","2020-04-10","VLA"
"4","2020-04-10","VLA"
"4","2020-04-10","VLA"
"3","2020-04-10","VLA"
"3","2020-04-10","VLA"
"4","2020-04-10","VLA"
"3","2020-04-10","VLA"
"3","2020-04-10","VLA"
"3","2020-04-10","VLA"
"1","2020-04-10","VLA"
"4","2020-04-10","VLA"
"3","2020-04-10","VLA"
"3","2020-04-10","VLA"
"3","2020-04-10","VLA"
"3","2020-04-10","WAL"
"3","2020-04-10","VLA"
"3","2020-04-10","VLA"
"3","2020-04-10","VLA"
"3","2020-04-10","VLA"
"2","2020-04-10","VLA"
"4","2020-04-10","VLA"
"3","2020-04-10","VLA"
"3","2020-04-10","VLA"
"3","2020-04-10","VLA"
"3","2020-04-10","VLA"
"3","2020-04-10","VLA"
"3","2020-04-10","VLA"
"2","2020-04-11","VLA"
"2","2020-04-11","VLA"
"3","2020-04-11","VLA"
"4","2020-04-11","VLA"
"4","2020-04-11","VLA"
"3","2020-04-11","VLA"
"4","2020-04-11","VLA"
"3","2020-04-11","VLA"
"3","2020-04-11","VLA"
"1","2020-04-11","VLA"
"3","2020-04-11","WAL"
"3","2020-04-11","VLA"
"3","2020-04-11","VLA"
"3","2020-04-11","VLA"
"3","2020-04-12","VLA"
"3","2020-04-12","VLA"
"3","2020-04-12","VLA"
"3","2020-04-12","VLA"
"3","2020-04-12","VLA"
"3","2020-04-12","VLA"
"3","2020-04-13","VLA"
"3","2020-04-13","VLA"
"3","2020-04-13","VLA"
"4","2020-04-13","VLA"
"3","2020-04-13","VLA"
"1","2020-04-13","VLA"
"2","2020-04-13","VLA"
"3","2020-04-13","VLA"
"1","2020-04-13","VLA"
"3","2020-04-13","VLA"
"4","2020-04-13","VLA"
"3","2020-04-13","VLA"
"3","2020-04-13","VLA"
"3","2020-04-13","VLA"
"3","2020-04-13","VLA"
"3","2020-04-13","VLA"
"3","2020-04-13","VLA"
"3","2020-04-13","VLA"
"3","2020-04-13","VLA"
"3","2020-04-13","VLA"
"1","2020-04-14","VLA"
"3","2020-04-14","VLA"
"3","2020-04-14","VLA"
"3","2020-04-14","VLA"
"3","2020-04-14","VLA"
"3","2020-04-14","VLA"
"3","2020-04-14","VLA"
"3","2020-04-14","VLA"
"3","2020-04-14","VLA"
"3","2020-04-14","VLA"
"3","2020-04-14","VLA"
"3","2020-04-14","VLA"
"3","2020-04-14","VLA"
"3","2020-04-14","VLA"
"4","2020-04-14","VLA"
"4","2020-04-14","VLA"
"3","2020-04-14","VLA"
"2","2020-04-14","VLA"
"1","2020-04-14","VLA"
"4","2020-04-14","VLA"
"3","2020-04-14","VLA"
"3","2020-04-14","VLA"
"3","2020-04-14","VLA"
"3","2020-04-14","VLA"
"3","2020-04-14","VLA"
"3","2020-04-14","VLA"
"3","2020-04-14","VLA"
"4","2020-04-14","VLA"
"3","2020-04-14","VLA"
"3","2020-04-14","VLA"
"4","2020-04-14","VLA"
"3","2020-04-14","VLA"
"3","2020-04-14","VLA"
"3","2020-04-15","VLA"
"3","2020-04-15","VLA"
"4","2020-04-15","VLA"
"3","2020-04-15","VLA"
"3","2020-04-15","VLA"
"1","2020-04-15","VLA"
"3","2020-04-15","VLA"
"3","2020-04-15","VLA"
"4","2020-04-15","VLA"
"3","2020-04-15","VLA"
"2","2020-04-15","VLA"
"3","2020-04-15","VLA"
"4","2020-04-15","VLA"
"3","2020-04-15","VLA"
"2","2020-04-15","VLA"
"3","2020-04-15","VLA"
"2","2020-04-15","VLA"
"4","2020-04-15","VLA"
"3","2020-04-15","VLA"
"3","2020-04-15","VLA"
"3","2020-04-15","VLA"
"3","2020-04-15","VLA"
"2","2020-04-15","VLA"
"3","2020-04-15","VLA"
"3","2020-04-15","VLA"
"4","2020-04-15","VLA"
"4","2020-04-15","VLA"
"4","2020-04-15","VLA"
"3","2020-04-15","VLA"
"2","2020-04-15","VLA"
"3","2020-04-15","VLA"
"3","2020-04-15","VLA"
"3","2020-04-16","VLA"
"3","2020-04-16","VLA"
"4","2020-04-16","VLA"
"3","2020-04-16","VLA"
"3","2020-04-16","VLA"
"3","2020-04-16","VLA"
"3","2020-04-16","VLA"
"3","2020-04-16","VLA"
"3","2020-04-16","VLA"
"3","2020-04-16","VLA"
"3","2020-04-16","VLA"
"3","2020-04-16","VLA"
"3","2020-04-16","VLA"
"3","2020-04-16","VLA"
"3","2020-04-16","VLA"
"4","2020-04-16","VLA"
"3","2020-04-16","VLA"
"3","2020-04-16","VLA"
"3","2020-04-16","VLA"
"3","2020-04-16","VLA"
"3","2020-04-16","VLA"
"4","2020-04-16","VLA"
"3","2020-04-16","VLA"
"3","2020-04-16","VLA"
"3","2020-04-16","VLA"
"3","2020-04-16","VLA"
"3","2020-04-16","VLA"
"3","2020-04-16","VLA"
"3","2020-04-16","VLA"
"2","2020-04-16","VLA"
"3","2020-04-16","VLA"
"3","2020-04-16","VLA"
"3","2020-04-16","VLA"
"3","2020-04-16","VLA"
"2","2020-04-16","VLA"
"3","2020-04-16","VLA"
"4","2020-04-16","VLA"
"3","2020-04-16","VLA"
"3","2020-04-16","VLA"
"3","2020-04-16","VLA"
"3","2020-04-17","VLA"
"3","2020-04-17","VLA"
"3","2020-04-17","VLA"
"3","2020-04-17","VLA"
"3","2020-04-17","VLA"
"2","2020-04-17","VLA"
"3","2020-04-17","VLA"
"3","2020-04-17","VLA"
"3","2020-04-17","VLA"
"3","2020-04-17","VLA"
"3","2020-04-17","VLA"
"3","2020-04-17","VLA"
"3","2020-04-17","VLA"
"3","2020-04-17","VLA"
"3","2020-04-17","VLA"
"3","2020-04-17","VLA"
"3","2020-04-17","VLA"
"3","2020-04-17","VLA"
"3","2020-04-17","WAL"
"1","2020-04-17","VLA"
"3","2020-04-17","VLA"
"2","2020-04-17","VLA"
"3","2020-04-17","VLA"
"3","2020-04-17","VLA"
"3","2020-04-17","VLA"
"4","2020-04-17","VLA"
"3","2020-04-17","VLA"
"3","2020-04-17","VLA"
"4","2020-04-17","VLA"
"3","2020-04-17","VLA"
"3","2020-04-17","VLA"
"3","2020-04-18","VLA"
"3","2020-04-18","VLA"
"1","2020-04-19","VLA"
"3","2020-04-19","VLA"
"3","2020-04-19","VLA"
"3","2020-04-19","VLA"
"3","2020-04-19","VLA"
"3","2020-04-19","VLA"
"3","2020-04-19","VLA"
"3","2020-04-19","VLA"
"3","2020-04-19","VLA"
"4","2020-04-19","VLA"
"4","2020-04-19","VLA"
"3","2020-04-19","VLA"
"4","2020-04-19","VLA"
"3","2020-04-19","VLA"
"3","2020-04-19","VLA"
"3","2020-04-19","VLA"
"3","2020-04-20","VLA"
"4","2020-04-20","VLA"
"3","2020-04-20","VLA"
"3","2020-04-20","VLA"
"2","2020-04-20","VLA"
"3","2020-04-20","VLA"
"3","2020-04-20","VLA"
"4","2020-04-20","VLA"
"3","2020-04-20","VLA"
"3","2020-04-20","VLA"
"2","2020-04-20","VLA"
"3","2020-04-20","VLA"
"3","2020-04-20","VLA"
"3","2020-04-20","VLA"
"3","2020-04-20","VLA"
"3","2020-04-20","VLA"
"3","2020-04-20","VLA"
"3","2020-04-20","VLA"
"3","2020-04-20","VLA"
"3","2020-04-20","VLA"
"3","2020-04-20","VLA"
"3","2020-04-20","VLA"
"4","2020-04-20","VLA"
"3","2020-04-20","VLA"
"3","2020-04-20","VLA"
"3","2020-04-20","VLA"
"3","2020-04-20","VLA"
"3","2020-04-20","VLA"
"4","2020-04-20","VLA"
"3","2020-04-20","VLA"
"3","2020-04-20","VLA"
"3","2020-04-20","VLA"
"3","2020-04-20","VLA"
"3","2020-04-21","VLA"
"3","2020-04-21","VLA"
"3","2020-04-21","VLA"
"3","2020-04-21","VLA"
"2","2020-04-21","VLA"
"3","2020-04-21","VLA"
"3","2020-04-21","VLA"
"3","2020-04-21","VLA"
"4","2020-04-21","VLA"
"3","2020-04-21","VLA"
"3","2020-04-21","VLA"
"3","2020-04-21","VLA"
"3","2020-04-21","VLA"
"2","2020-04-21","VLA"
"2","2020-04-21","VLA"
"3","2020-04-21","VLA"
"4","2020-04-21","VLA"
"3","2020-04-21","VLA"
"4","2020-04-21","VLA"
"3","2020-04-21","VLA"
"3","2020-04-21","VLA"
"3","2020-04-21","VLA"
"4","2020-04-21","VLA"
"3","2020-04-21","VLA"
"3","2020-04-21","VLA"
"3","2020-04-21","VLA"
"3","2020-04-22","VLA"
"4","2020-04-22","VLA"
"3","2020-04-22","VLA"
"3","2020-04-22","VLA"
"3","2020-04-22","VLA"
"3","2020-04-22","VLA"
"3","2020-04-22","VLA"
"3","2020-04-22","VLA"
"3","2020-04-22","VLA"
"3","2020-04-22","VLA"
"3","2020-04-22","VLA"
"3","2020-04-22","VLA"
"4","2020-04-22","VLA"
"2","2020-04-22","VLA"
"3","2020-04-22","VLA"
"3","2020-04-22","VLA"
"3","2020-04-22","VLA"
"3","2020-04-22","VLA"
"2","2020-04-22","VLA"
"3","2020-04-22","VLA"
"1","2020-04-22","VLA"
"3","2020-04-22","VLA"
"3","2020-04-22","VLA"
"3","2020-04-22","VLA"
"4","2020-04-22","VLA"
"3","2020-04-22","VLA"
"3","2020-04-22","WAL"
"3","2020-04-22","VLA"
"3","2020-04-22","VLA"
"4","2020-04-22","VLA"
"4","2020-04-22","VLA"
"3","2020-04-22","VLA"
"3","2020-04-22","VLA"
"3","2020-04-23","VLA"
"3","2020-04-23","VLA"
"3","2020-04-23","VLA"
"3","2020-04-23","VLA"
"3","2020-04-23","VLA"
"3","2020-04-23","VLA"
"4","2020-04-23","VLA"
"3","2020-04-23","VLA"
"3","2020-04-23","VLA"
"1","2020-04-23","VLA"
"4","2020-04-23","VLA"
"3","2020-04-23","VLA"
"3","2020-04-23","VLA"
"3","2020-04-23","VLA"
"3","2020-04-23","VLA"
"4","2020-04-23","VLA"
"3","2020-04-23","VLA"
"3","2020-04-23","VLA"
"3","2020-04-23","VLA"
"3","2020-04-23","VLA"
"3","2020-04-23","VLA"
"3","2020-04-23","VLA"
"3","2020-04-23","VLA"
"3","2020-04-23","VLA"
"3","2020-04-24","VLA"
"2","2020-04-24","VLA"
"3","2020-04-24","VLA"
"3","2020-04-24","VLA"
"3","2020-04-24","VLA"
"3","2020-04-24","VLA"
"3","2020-04-24","VLA"
"3","2020-04-24","VLA"
"3","2020-04-24","VLA"
"3","2020-04-24","VLA"
"3","2020-04-24","VLA"
"4","2020-04-24","VLA"
"2","2020-04-24","VLA"
"3","2020-04-24","VLA"
"3","2020-04-24","VLA"
"3","2020-04-24","VLA"
"3","2020-04-24","VLA"
"3","2020-04-24","VLA"
"3","2020-04-24","VLA"
"3","2020-04-24","VLA"
"3","2020-04-24","VLA"
"3","2020-04-24","VLA"
"4","2020-04-24","VLA"
"3","2020-04-25","VLA"
"3","2020-04-25","VLA"
"3","2020-04-25","VLA"
"2","2020-04-25","VLA"
"3","2020-04-25","VLA"
"3","2020-04-25","VLA"
"3","2020-04-25","VLA"
"3","2020-04-25","VLA"
"3","2020-04-25","VLA"
"3","2020-04-25","VLA"
"3","2020-04-26","VLA"
"3","2020-04-26","VLA"
"3","2020-04-26","VLA"
"4","2020-04-26","VLA"
"3","2020-04-26","VLA"
"3","2020-04-26","VLA"
"3","2020-04-26","VLA"
"3","2020-04-26","VLA"
"3","2020-04-26","VLA"
"3","2020-04-26","VLA"
"4","2020-04-27","VLA"
"3","2020-04-27","VLA"
"3","2020-04-27","VLA"
"3","2020-04-27","VLA"
"3","2020-04-27","VLA"
"1","2020-04-27","VLA"
"3","2020-04-27","VLA"
"4","2020-04-27","VLA"
"3","2020-04-27","VLA"
"3","2020-04-27","VLA"
"3","2020-04-27","VLA"
"3","2020-04-27","VLA"
"3","2020-04-27","VLA"
"3","2020-04-27","VLA"
"3","2020-04-27","VLA"
"3","2020-04-27","VLA"
"3","2020-04-27","VLA"
"3","2020-04-27","VLA"
"3","2020-04-27","VLA"
"3","2020-04-27","VLA"
"3","2020-04-27","VLA"
"3","2020-04-27","VLA"
"3","2020-04-27","VLA"
"3","2020-04-27","VLA"
"4","2020-04-27","VLA"
"3","2020-04-27","VLA"
"3","2020-04-28","VLA"
"3","2020-04-28","VLA"
"3","2020-04-28","VLA"
"3","2020-04-28","VLA"
"3","2020-04-28","VLA"
"3","2020-04-28","VLA"
"3","2020-04-28","VLA"
"3","2020-04-28","VLA"
"3","2020-04-28","VLA"
"3","2020-04-28","VLA"
"2","2020-04-28","VLA"
"3","2020-04-28","VLA"
"3","2020-04-28","VLA"
"3","2020-04-28","VLA"
"3","2020-04-28","VLA"
"3","2020-04-28","VLA"
"3","2020-04-28","VLA"
"3","2020-04-28","VLA"
"3","2020-04-28","VLA"
"3","2020-04-28","VLA"
"3","2020-04-28","VLA"
"3","2020-04-28","VLA"
"3","2020-04-28","VLA"
"3","2020-04-28","VLA"
"3","2020-04-28","VLA"
"4","2020-04-28","VLA"
"4","2020-04-28","VLA"
"3","2020-04-28","VLA"
"3","2020-04-28","VLA"
"3","2020-04-28","VLA"
"3","2020-04-28","VLA"
"3","2020-04-29","VLA"
"3","2020-04-29","VLA"
"3","2020-04-29","VLA"
"4","2020-04-29","VLA"
"3","2020-04-29","VLA"
"2","2020-04-29","VLA"
"3","2020-04-29","VLA"
"3","2020-04-29","VLA"
"3","2020-04-29","VLA"
"3","2020-04-29","VLA"
"3","2020-04-29","VLA"
"2","2020-04-29","VLA"
"3","2020-04-29","VLA"
"3","2020-04-29","VLA"
"3","2020-04-29","VLA"
"3","2020-04-29","VLA"
"3","2020-04-29","VLA"
"3","2020-04-29","VLA"
"3","2020-04-29","VLA"
"3","2020-04-29","VLA"
"4","2020-04-29","VLA"
"3","2020-04-29","VLA"
"3","2020-04-29","VLA"
"3","2020-04-29","VLA"
"2","2020-04-29","VLA"
"2","2020-04-29","VLA"
"3","2020-04-29","VLA"
"2","2020-04-30","VLA"
"3","2020-04-30","VLA"
"3","2020-04-30","VLA"
"3","2020-04-30","VLA"
"3","2020-04-30","VLA"
"3","2020-04-30","VLA"
"3","2020-04-30","VLA"
"2","2020-04-30","VLA"
"3","2020-04-30","VLA"
"2","2020-04-30","VLA"
"3","2020-04-30","VLA"
"3","2020-04-30","VLA"
"3","2020-04-30","VLA"
