"fl_capacity_next_week","d_completed","cd_regio"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","WAL"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","WAL"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","WAL"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"1","2020-03-24","WAL"
"0","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","BRU"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","WAL"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","WAL"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","WAL"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","WAL"
"1","2020-03-25","VLA"
"0","2020-03-25","WAL"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","BRU"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","BRU"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","BRU"
"1","2020-03-26","WAL"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","BRU"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","WAL"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","WAL"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","BRU"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","WAL"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","BRU"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","WAL"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-28","VLA"
"1","2020-03-28","VLA"
"1","2020-03-28","VLA"
"1","2020-03-28","VLA"
"1","2020-03-28","VLA"
"1","2020-03-28","VLA"
"1","2020-03-28","VLA"
"1","2020-03-28","VLA"
"1","2020-03-28","VLA"
"0","2020-03-28","VLA"
"1","2020-03-28","VLA"
"1","2020-03-28","VLA"
"1","2020-03-28","VLA"
"0","2020-03-28","VLA"
"1","2020-03-28","VLA"
"0","2020-03-28","VLA"
"0","2020-03-28","VLA"
"0","2020-03-28","VLA"
"1","2020-03-28","VLA"
"1","2020-03-28","VLA"
"0","2020-03-28","VLA"
"1","2020-03-28","VLA"
"1","2020-03-28","VLA"
"1","2020-03-28","VLA"
"0","2020-03-28","VLA"
"0","2020-03-28","VLA"
"0","2020-03-28","VLA"
"1","2020-03-28","VLA"
"0","2020-03-29","VLA"
"1","2020-03-29","VLA"
"1","2020-03-29","VLA"
"1","2020-03-29","VLA"
"1","2020-03-29","VLA"
"0","2020-03-29","VLA"
"1","2020-03-29","VLA"
"0","2020-03-29","VLA"
"0","2020-03-29","VLA"
"0","2020-03-29","VLA"
"1","2020-03-29","VLA"
"1","2020-03-29","VLA"
"1","2020-03-30","VLA"
"1","2020-03-30","VLA"
"0","2020-03-30","VLA"
"1","2020-03-30","VLA"
"1","2020-03-30","VLA"
"1","2020-03-30","VLA"
"1","2020-03-30","VLA"
"1","2020-03-30","VLA"
"0","2020-03-30","VLA"
"0","2020-03-30","VLA"
"0","2020-03-30","VLA"
"1","2020-03-30","VLA"
"1","2020-03-30","VLA"
"1","2020-03-30","VLA"
"0","2020-03-30","VLA"
"0","2020-03-30","VLA"
"0","2020-03-30","VLA"
"0","2020-03-30","VLA"
"1","2020-03-30","VLA"
"0","2020-03-30","VLA"
"1","2020-03-30","VLA"
"1","2020-03-30","VLA"
"0","2020-03-30","VLA"
"0","2020-03-30","VLA"
"1","2020-03-30","VLA"
"1","2020-03-30","VLA"
"1","2020-03-30","VLA"
"1","2020-03-30","VLA"
"1","2020-03-30","VLA"
"1","2020-03-30","VLA"
"1","2020-03-30","VLA"
"0","2020-03-30","VLA"
"1","2020-03-30","VLA"
"0","2020-03-30","VLA"
"1","2020-03-30","VLA"
"1","2020-03-30","BRU"
"0","2020-03-30","VLA"
"0","2020-03-30","VLA"
"0","2020-03-30","VLA"
"1","2020-03-30","VLA"
"1","2020-03-30","VLA"
"1","2020-03-30","VLA"
